team,season,points
WAS,2018,"[3, 3, 4, 4, 7, 7, 8, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11]"
CHI,2019,"[1, 4, 7, 7, 7, 7, 10, 13, 13, 16, 19, 22, 23, 23, 26, 26, 29, 32, 35, 38, 38, 38, 41, 44]"
GFC,2019,"[0, 1, 1, 1, 1, 4, 4, 7, 8, 8, 8, 9, 9, 10, 10, 10, 13, 13, 13, 14, 14, 17, 20, 20]"
HOU,2019,"[1, 1, 4, 4, 5, 5, 5, 8, 8, 8, 11, 12, 15, 18, 19, 20, 20, 23, 23, 26, 26, 26, 26, 26]"
NC,2019,"[1, 4, 5, 6, 7, 10, 13, 16, 19, 22, 25, 28, 31, 31, 31, 34, 37, 37, 40, 40, 43, 46, 49, 49]"
ORL,2019,"[0, 0, 0, 0, 0, 3, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 12, 12, 15, 15, 15, 15, 16]"
POR,2019,"[3, 4, 4, 7, 10, 11, 14, 17, 20, 20, 23, 24, 27, 28, 29, 32, 32, 35, 36, 39, 40, 40, 40, 40]"
RGN,2019,"[1, 4, 7, 8, 9, 9, 12, 12, 15, 15, 18, 21, 22, 22, 23, 26, 29, 32, 32, 35, 36, 36, 37, 38]"
UTA,2019,"[3, 6, 6, 9, 12, 12, 13, 13, 16, 19, 19, 22, 25, 26, 26, 27, 27, 27, 30, 33, 34, 34, 34, 34]"
WAS,2019,"[3, 4, 7, 10, 11, 11, 11, 11, 12, 15, 16, 19, 19, 22, 25, 26, 26, 29, 29, 29, 29, 30, 33, 34]"
CHI,2021,"[1, 4, 5, 5, 8, 11, 14, 14, 17, 20, 23, 26, 26, 29, 29, 29, 32, 32, 32, 33, 34, 35, 35, 38]"
GFC,2021,"[3, 3, 6, 7, 10, 10, 11, 11, 12, 15, 16, 17, 18, 19, 22, 23, 26, 27, 27, 27, 30, 33, 34, 35]"
HOU,2021,"[1, 4, 7, 10, 10, 11, 12, 15, 15, 16, 19, 19, 19, 19, 22, 22, 22, 25, 25, 26, 29, 32, 32, 32]"
KCC,2021,"[0, 0, 0, 0, 1, 4, 7, 8, 9, 12, 13, 13, 14, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16]"
LOU,2021,"[1, 4, 7, 7, 7, 7, 10, 11, 12, 12, 15, 16, 16, 16, 19, 20, 20, 21, 21, 21, 21, 21, 21, 22]"
NC,2021,"[0, 3, 6, 9, 9, 10, 13, 16, 16, 19, 19, 19, 20, 20, 23, 26, 26, 27, 30, 31, 32, 32, 32, 33]"
ORL,2021,"[1, 4, 7, 8, 8, 9, 9, 10, 11, 14, 14, 14, 17, 18, 21, 21, 21, 22, 25, 25, 28, 28, 28, 28]"
POR,2021,"[3, 3, 6, 9, 10, 13, 16, 19, 22, 22, 23, 24, 24, 27, 27, 30, 33, 36, 37, 37, 40, 40, 41, 44]"
RGN,2021,"[1, 1, 4, 4, 7, 10, 13, 16, 19, 22, 25, 25, 28, 28, 28, 28, 28, 31, 31, 34, 35, 38, 39, 42]"
WAS,2021,"[3, 4, 4, 7, 7, 7, 10, 11, 11, 14, 17, 20, 21, 21, 24, 25, 28, 31, 31, 32, 32, 33, 36, 39]"
