team_name,team_abbreviation,season_name,date_time_utc,goals_for,goals_against,xgoals_for,xgoals_against,knockout_game
Angel City FC,LA,2022,2022-05-22 02:30:00 UTC,0,0,1.0986,0.37410000000000004,False
Kansas City Current,KC,2022,2022-09-25 21:00:00 UTC,3,0,2.516,0.3123,False
Washington Spirit,WAS,2022,2022-09-25 21:00:00 UTC,0,3,0.3123,2.516,False
Orlando Pride,ORL,2022,2022-09-16 23:30:00 UTC,0,2,0.5887,1.3592,False
Racing Louisville FC,LOU,2022,2022-09-16 23:30:00 UTC,2,0,1.3592,0.5887,False
OL Reign,RGN,2022,2022-07-10 22:00:00 UTC,2,1,1.1725,1.8199,False
Portland Thorns FC,POR,2022,2022-07-10 22:00:00 UTC,1,2,1.8199,1.1725,False
Orlando Pride,ORL,2021,2021-09-11 23:00:00 UTC,3,1,1.2401,0.8945000000000001,False
Racing Louisville FC,LOU,2021,2021-09-11 23:00:00 UTC,1,3,0.8945000000000001,1.2401,False
Orlando Pride,ORL,2021,2021-08-29 21:30:00 UTC,1,0,0.3047,1.5190000000000001,False
NJ/NY Gotham FC,NJY,2021,2021-08-29 21:30:00 UTC,0,1,1.5190000000000001,0.3047,False
Portland Thorns FC,POR,2021,2021-06-26 23:00:00 UTC,0,2,0.9391,1.5316,False
North Carolina Courage,NC,2021,2021-06-26 23:00:00 UTC,2,0,1.5316,0.9391,False
Washington Spirit,WAS,2021,2021-04-10 19:30:00 UTC,2,3,1.3946,1.3519999999999999,False
North Carolina Courage,NC,2021,2021-04-10 19:30:00 UTC,3,2,1.3519999999999999,1.3946,False
OL Reign,RGN,2019,2019-09-08 02:00:00 UTC,3,1,0.9865,1.1754,False
Orlando Pride,ORL,2019,2019-09-08 02:00:00 UTC,1,3,1.1754,0.9865,False
Chicago Red Stars,CHI,2019,2019-09-22 00:00:00 UTC,3,1,1.2609,1.3820000000000001,False
Washington Spirit,WAS,2019,2019-09-22 00:00:00 UTC,1,3,1.3820000000000001,1.2609,False
OL Reign,RGN,2019,2019-06-29 02:00:00 UTC,2,0,1.595,1.1126,False
Utah Royals FC,UTA,2019,2019-06-29 02:00:00 UTC,0,2,1.1126,1.595,False
Portland Thorns FC,POR,2016,2016-05-22 02:00:00 UTC,3,1,2.0547,0.4308,False
