date,time,home,away,local_std_time,day,avg_temp
2024-05-24,22:00:00,BFC,NJNY,18:00:00,05-24,72.2
2024-05-25,19:30:00,CHI,LOU,17:30:00,05-25,73.4
2024-05-25,22:00:00,UTA,KCC,19:00:00,05-25,70.2
2024-06-07,20:00:00,LOU,HOU,19:00:00,06-07,78.8
2024-06-07,22:00:00,SD,ORL,18:00:00,06-07,65.2
2024-06-08,12:30:00,NJNY,LA,11:30:00,06-08,81.6
2024-06-08,19:30:00,UTA,WAS,16:30:00,06-08,72.0
2024-06-08,22:00:00,POR,NC,18:00:00,06-08,68.2
2024-06-09,16:00:00,CHI,BFC,14:00:00,06-09,81.6
2024-06-09,18:00:00,KCC,RGN,16:00:00,06-09,84.0
2024-06-14,20:00:00,KCC,CHI,18:00:00,06-14,86.8
2024-06-15,13:00:00,LOU,NJNY,12:00:00,06-15,82.8
2024-06-15,19:00:00,WAS,SD,18:00:00,06-15,79.8
2024-06-15,19:30:00,NC,ORL,18:30:00,06-15,77.2
2024-06-15,21:30:00,HOU,LA,19:30:00,06-15,83.0
2024-06-16,16:00:00,RGN,POR,12:00:00,06-16,65.0
2024-06-16,22:00:00,BFC,UTA,18:00:00,06-16,69.6
2024-06-19,19:00:00,NJNY,SD,18:00:00,06-19,74.6
2024-06-19,22:00:00,LA,LOU,18:00:00,06-19,66.2
2024-06-21,20:00:00,ORL,UTA,19:00:00,06-21,82.0
2024-06-22,19:30:00,HOU,SD,17:30:00,06-22,87.6
2024-06-22,22:00:00,BFC,LA,18:00:00,06-22,74.0
2024-06-23,12:30:00,NJNY,WAS,11:30:00,06-23,77.2
2024-06-23,16:00:00,POR,KCC,12:00:00,06-23,73.8
2024-06-23,18:00:00,RGN,LOU,14:00:00,06-23,72.4
2024-06-23,18:00:00,NC,CHI,17:00:00,06-23,82.8
2024-06-28,20:00:00,KCC,HOU,18:00:00,06-28,87.0
2024-06-28,22:00:00,SD,CHI,18:00:00,06-28,69.2
2024-06-29,16:00:00,LOU,BFC,15:00:00,06-29,89.0
2024-06-29,19:30:00,WAS,NC,18:30:00,06-29,84.8
2024-06-29,22:00:00,UTA,POR,19:00:00,06-29,79.8
2024-06-30,13:00:00,NJNY,RGN,12:00:00,06-30,85.6
2024-06-30,19:30:00,LA,ORL,15:30:00,06-30,69.2
2024-07-05,22:00:00,POR,SD,18:00:00,07-05,80.0
2024-07-06,13:00:00,CHI,HOU,11:00:00,07-06,82.2
2024-07-06,19:30:00,KCC,ORL,17:30:00,07-06,85.8
2024-07-06,22:00:00,BFC,WAS,18:00:00,07-06,69.0
2024-07-06,22:00:00,LA,NJNY,18:00:00,07-06,67.0
2024-07-07,16:30:00,NC,LOU,15:30:00,07-07,83.8
2024-07-07,18:00:00,RGN,UTA,14:00:00,07-07,70.2
2024-08-23,20:00:00,HOU,ORL,18:00:00,08-23,89.8
2024-08-23,21:30:00,UTA,BFC,18:30:00,08-23,84.2
2024-08-24,14:00:00,NJNY,POR,13:00:00,08-24,84.4
2024-08-24,16:00:00,SD,LA,12:00:00,08-24,76.6
2024-08-24,19:30:00,LOU,CHI,18:30:00,08-24,85.2
2024-08-25,12:00:00,WAS,KCC,11:00:00,08-25,84.6
2024-08-25,22:00:00,RGN,NC,18:00:00,08-25,75.4
2024-08-30,22:00:00,POR,BFC,18:00:00,08-30,78.4
2024-08-31,19:00:00,LOU,RGN,18:00:00,08-31,79.8
2024-08-31,21:30:00,HOU,UTA,19:30:00,08-31,86.2
2024-09-01,14:00:00,NC,KCC,13:00:00,09-01,83.0
2024-09-01,16:00:00,LA,CHI,12:00:00,09-01,76.6
2024-09-01,18:00:00,ORL,NJNY,17:00:00,09-01,81.0
2024-09-01,20:00:00,SD,WAS,16:00:00,09-01,76.4
2024-09-06,22:00:00,LA,RGN,18:00:00,09-06,75.4
2024-09-07,12:30:00,WAS,POR,11:30:00,09-07,82.4
2024-09-07,19:30:00,KCC,UTA,17:30:00,09-07,84.6
2024-09-07,22:00:00,BFC,LOU,18:00:00,09-07,79.8
2024-09-08,13:00:00,NJNY,HOU,12:00:00,09-08,82.0
2024-09-08,18:00:00,CHI,ORL,16:00:00,09-08,70.2
2024-09-08,20:00:00,SD,NC,16:00:00,09-08,79.0
2024-09-13,19:00:00,ORL,KCC,18:00:00,09-13,83.4
2024-09-13,20:00:00,NC,BFC,19:00:00,09-13,76.6
2024-09-13,22:00:00,POR,CHI,18:00:00,09-13,71.2
2024-09-14,19:30:00,LOU,LA,18:30:00,09-14,78.8
2024-09-14,22:00:00,UTA,SD,19:00:00,09-14,73.2
2024-09-15,13:00:00,WAS,HOU,12:00:00,09-15,78.6
2024-09-16,22:00:00,RGN,NJNY,18:00:00,09-16,64.6
2024-09-20,20:00:00,KCC,WAS,18:00:00,09-20,79.2
2024-09-20,22:30:00,BFC,ORL,18:30:00,09-20,71.0
2024-09-21,19:00:00,LOU,NC,18:00:00,09-21,83.0
2024-09-21,20:30:00,HOU,RGN,18:30:00,09-21,83.8
2024-09-21,21:30:00,CHI,SD,19:30:00,09-21,67.4
