player,team_old,team_new
Gabi Portilho,GFC,SD
Gabrielle Robinson,KCC,KCC
Geyse,GFC,
Gia Corley,SD,SD
Gianna Paul,,KCC
Gift Monday,WAS,WAS
Gisele Thompson,LA,LA
Grace Chanda,ORL,
Guro Reiten,,GFC
Hailie Mace,KCC,ORL
Hal Hershfelt,WAS,WAS
Haley Hopkins,,KCC
Haley McCutcheon,ORL,ORL
Halle Mackiewicz,CHI,CHI
Hanna Glas,RGN,
Hanna Lundkvist,SD,
Hannah Anderson,CHI,ORL
Hannah Bebar,BAY,BAY
Hannah Betfort,NC,NC
Hannah Seabert,LA,
Hannah Stambaugh,LA,BOS
Hannnah Seabert,,LA
Heather Gilchrist,,BAY
Heather MacNab,NC,
Heather Stainbrook,WAS,WAS
Hildah Magaia,KCC,
Hillary Beall,SD,HOU
Hina Sugita,LA,LA
Imani Dorsey,UTA,
Isabella Obaze,POR,POR
Ivonne Chacón,CHI,CHI
Ivy Younce,,NC
Izzy Rodriguez,KCC,KCC
Jacquie Ovalle,ORL,ORL
Jaedyn Shaw,GFC,GFC
Jaelin Howell,GFC,GFC
Jameese Joseph,CHI,CHI
Jamie Shepherd,BAY,BAY
Jane Campbell,HOU,HOU
Janine Sonis,LOU,DEN
Janni Thomsen,UTA,UTA
Jasmine Aikey,,DEN
Jayden Perry,POR,POR
Jenna Bike,CHI,CHI
Jennie Immethun,,POR
Jereko,KCC,
Jess Carter,GFC,GFC
Jess Fishlock,RGN,RGN
Jessie Fleming,POR,POR
Ji So-Yun,RGN,
Joelle Anderson,BAY,BAY
Jordan Baggett,LOU,DEN
Jordan Brewster,BAY,
Jordan Fusco,SD,SD
Jordan Nytes,,DEN
Jordan Silkowitz,BAY,BAY
Jordyn Bloomer,LOU,LOU
Jordyn Bugg,RGN,RGN
Jordyn Huitema,RGN,CHI
Jordynn Dudley,,GFC
Jorelyn Carabalí,,BOS
Josefine Hasbo,GFC,BOS
Julia Grosso,CHI,CHI
Julia Lester,RGN,
Julie Doyle,ORL,ORL
Julie Dufour,POR,POR
Jun Endo,LA,LA
Jyllissa Harris,HOU,
KK Ream,UTA,UTA
Kailen Sheridan,SD,NC
Kaitlyn Torpey,POR,
Kaká,,BOS
Kalea Eichenberger,,UTA
Kaleigh Kurtz,NC,DEN
Kaleigh Riehl,UTA,UTA
Kameron Simmonds,,UTA
Karlie Lema,BAY,BAY
Karsyn Cherry,,LA
Kat Asman,ORL,ORL
Kat Rader,,HOU
Kate Del Fava,UTA,UTA
Kate Faasse,,HOU
Kate Wiesner,WAS,WAS
Kathrin Hendrich,CHI,CHI
Katie Atkinson,LOU,CHI
Katie Cappelletti,NC,KCC
Katie Fraine,KCC,
Katie Lampson,,GFC
Katie Lind,HOU,
Katie O'Kane,LOU,LOU
Katie Scott,,KCC
Katie Stengel,GFC,
Kayla Duran,GFC,GFC
Kayla Fischer,LOU,LOU
Kayla Sharples,KCC,KCC
Kaylie Collins,,WAS
Keira Barry,,BAY
Kelli Hubly,BAY,BAY
Kennedy Fuller,LA,LA
Kennedy Wesley,SD,SD
Kenza Dali,SD,SD
Kerry Abello,ORL,ORL
Khyah Harper,GFC,GFC
Kiana Palacios,,UTA
Kiki Pickett,BAY,SD
Kiki Van Zanten,HOU,HOU
Kimmi Ascanio,SD,SD
Kirsten Wright,LOU,
Kolo Suliafu,,KCC
Kristen Hamilton,KCC,
Kristen McNabb,SD,SD
Kylie Nadaner,ORL,ORL
Kyra Carusa,SD,KCC
Kysha Sylla,WAS,
Kössler,,DEN
Laila Harbert,POR,
Laney Rouse,,KCC
Lara Prašnikar,UTA,UTA
Laurel Ansbrow,,BOS
Laurel Ivory,,BOS
Lauren Barnes,RGN,
Lauren Flynn,UTA,
Lauren Gogal,UTA,
Lauren Milliet,LOU,LOU
Laurina Fazer,SD,SD
Lauryn Thompson,,NC
Laís Araújo,,BOS
Leah Freeman,BAY,SD
Leah Klenke,,HOU
Leicy Santos,WAS,WAS
Leilanni Nesbeth,CHI,CHI
Lia Godfrey,,SD
Lilly Reale,GFC,GFC
Lily Nabet,LA,
Linda Ullmark,,HOU
Lindsey Heaps,,DEN
Lisa Boattin,HOU,HOU
Liz Beardsley,HOU,
Lo'eau LaBonta,KCC,KCC
Lorena,KCC,KCC
Lourdes Bosch,,DEN
Luana,ORL,ORL
Lucia Di Guglielmo,,WAS
Ludmila,CHI,SD
Luisa Agudelo,,SD
Lynn Biyendolo,RGN,RGN
Lyza Jessee,WAS,
M.A. Vignola,POR,POR
Macey Hodge,LA,LOU
Mackenzie Arnold,POR,POR
Mackenzie Wood,CHI,POR
Macy Blackburn,,LOU
Maddie Dahlien,RGN,RGN
Maddie Mercado,RGN,RGN
Maddie Moreau,BAY,BAY
Maddie Padelski,,POR
Maddie Prohaska,RGN,LOU
Madi White,,NC
Madison Curry,RGN,RGN
Madison Hammond,LA,UTA
Madison Haugen,,WAS
Madison Pogarch,UTA,
Madison White,LOU,
Maggie Graham,HOU,HOU
Maiara Niehues,LA,LA
Maitane,CHI,CHI
Maithe Lopez,LA,
Maithé López,,LA
Maja Lardner,,LOU
Makenna Morris,LOU,LOU
Makenzy Robbe,SD,HOU
Malia Berkely,HOU,HOU
Mallie McKenzie,POR,POR
Mallory Swanson,CHI,CHI
Mallory Weber,KCC,
Manaka Hayashi,CHI,CHI
Manaka Matsukubo,NC,NC
Mandy Freeman,GFC,GFC
Mandy McGlynn,UTA,UTA
Mariana Larroquette,ORL,
Marie Müller,POR,POR
Marisa DiGrande,LOU,LOU
Marisa Jordan,NC,KCC
Marta,ORL,ORL
Mary Long,,KCC
Maycee Bell,NC,NC
McKenna Whitham,GFC,GFC
McKinley Crone,ORL,ORL
Meg Boade,,DEN
Megan Reid,LA,DEN
Meila Brewer,,KCC
Melanie Barcenas,SD,SD
Melissa,,DEN
Melissa Lowder,BAY,
Meredith Speck,NC,
Messiah Bright,HOU,HOU
Mia Fishel,RGN,RGN
Mia Justus,UTA,UTA
Micayla Johnson,CHI,CHI
Michelle Alozie,HOU,CHI
Michelle Cooper,KCC,KCC
Midge Purce,GFC,GFC
Mikayla Cluff,RGN,
Milly Clegg,LOU,
Mimi Alidou,POR,POR
Mimi Van Zanten,,SD
Mina Tanaka,UTA,UTA
Mirann Gacioch,,LOU
Miyabi Moriya,LA,UTA
Molly Pritchard,,NC
Molly Skurcenski,,WAS
Morgan Gautrat,ORL,
Morgan Messner,POR,POR
Morgan Weaver,POR,POR
Mya Jones,SD,
Nadia Cooper,HOU,
Nahikari Garcia,,DEN
Naomi Powell,POR,
Narumi Miura,WAS,UTA
Natalia Kuikka,CHI,CHI
Natalia Staude,NC,NC
Natalie Jacobs,NC,NC
Natalie Means,,DEN
Natalie Mitchell,,LOU
Natasha Flint,,DEN
Nealy Martin,LA,LA
Neeku Purcell,RGN,RGN
Nerilia Mondesir,RGN,RGN
Nichelle Prince,KCC,BOS
Nicki Hernandez,,BOS
Nicole Payne,POR,ORL
Nuria Rábano,UTA,UTA
Nya Harrison,SD,SD
Nádia Gomes,CHI,CHI
Oihane,ORL,ORL
Oli Peña,NC,NC
Olivia Griffitts,UTA,
Olivia Katoa,POR,
Olivia Moultrie,POR,POR
Olivia Sekany,,LOU
Olivia Thomas,,DEN
Olivia Van der Jagt,RGN,
Olivia Wingate,NC,NC
Onyeka Gamero,BAY,BAY
Opeyemi Ajakaye,KCC,
Ouleye Sarr,WAS,
Paige Cronin,UTA,UTA
Paige Metayer,WAS,WAS
Paige Nielsen,HOU,HOU
Payton Linnehan,NC,NC
Penelope Hocking,BAY,KCC
Perle Morroni,SD,SD
Phoebe McClernon,RGN,RGN
Pietra Tordin,POR,POR
Princess Ademiluyi,GFC,
Prisca Chilufya,LA,LA
Quincy McMahon,SD,LOU
Racheal Kundananji,BAY,BAY
Rachel Hill,BAY,LOU
Rafaelle,ORL,ORL
Rajanah Reed,,LA
Reagan Raabe,,ORL
Rebeca,HOU,
Rebeca Bernal,WAS,WAS
Regan Steigleder,KCC,
Reilyn Turner,POR,POR
Renee Lyles,,POR
Reyna Reyes,POR,POR
Riley Jackson,NC,NC
Riley Tiernan,LA,LA
Rocky Rodríguez,,KCC
Rose Lavelle,GFC,GFC
Rosemonde Kouassi,WAS,WAS
Ruby Hladek,,RGN
Ryan Campbell,GFC,GFC
Ryan Gareis,HOU,CHI
Ryan Williams,NC,NC
Ryanne Brown,RGN,RGN
Sally Menti,RGN,RGN
Sam Coffey,POR,
Sam Hiatt,POR,POR
Sam Meza,RGN,RGN
Sam Staab,CHI,CHI
Samantha Angel,CHI,CHI
Sammy Smith,,BOS
Sandy MacIver,WAS,WAS
Sara Doorsoun,LA,
Sara Wojdelko,,WAS
Sarah Gorden,LA,LA
Sarah Puntigam,HOU,HOU
Sarah Schupansky,GFC,GFC
Sarah Weber,LOU,LOU
Savannah DeMelo,LOU,LOU
Savannah McCaskill,SD,GFC
Savy King,LA,LA
Seven Castain,,ORL
Shae Harvey,,POR
Shae Holmes,RGN,RGN
Shea Groom,CHI,
Shelby Hogan,GFC,GFC
Shinomi Koyama,NC,NC
Simone Charley,ORL,
Simone Jackson,ORL,ORL
Sintia Cabezas,SD,
Sofia Cantore,WAS,WAS
Sofia Cedeno,RGN,
Sofia Cedeño,,RGN
Sofia Cook,GFC,GFC
Sofia Huerta,RGN,RGN
Solai Washington,,ORL
Sophia Lowenberg,,BOS
Sophia Mattice,LA,LA
Sophia Wilson,POR,POR
Sophie Braun,KCC,
Sophie Schmidt,HOU,HOU
Stella Nyamekye,GFC,
Stine Ballisager Pedersen,KCC,
Summer Yates,ORL,ORL
Sveindís Jónsdóttir,LA,LA
Sydney Collins,BAY,BAY
Sydney Leroux,LA,LA
Sydney Schmidt,NC,NC
Talia Sommer,,GFC
Tamara Bolt,,WAS
Tara Rudd,WAS,WAS
Taryn Torres,GFC,GFC
Tatum Wynalda,,SD
Tatumn Milazzo,UTA,UTA
Taylor Flint,LOU,LOU
Taylor Huff,BAY,BAY
Taylor Suarez,,LA
Taylor White,,LOU
Taylor Wood,CHI,CHI
Teagan Wy,,GFC
Temwa Chawinga,KCC,KCC
Tess Boade,BAY,BAY
Tessa Dellarose,,CHI
Tierna Davidson,GFC,GFC
Trinity Armstrong,SD,SD
Trinity Byars,SD,SD
Trinity Rodman,WAS,WAS
Tyler Lussi,NC,
Uchenna Kanu,LOU,
Uno Shiragaki,,NC
Valerin Loboa,POR,POR
Vanessa DiBernardo,KCC,KCC
Veronica Latsko,RGN,
Victoria Pickett,NC,
Viviana Villacorta,ORL,ORL
Yazmeen Ryan,HOU,HOU
Yuna McCormack,,DEN
Zara Chavoshi,ORL,ORL
Zoe Matthews,HOU,
Élisabeth Tsé,,WAS
