player,team_old,team_new
Jayden Perry,,POR
Jen Beattie,BAY,
Jenna Bike,CHI,CHI
Jenna Butler,WAS,
Jenna Nighswonger,GFC,
Jess Carter,GFC,GFC
Jess Fishlock,RGN,RGN
Jessie Fleming,POR,POR
Ji So-Yun,RGN,RGN
Joelle Anderson,BAY,BAY
Jordan Baggett,LOU,LOU
Jordan Brewster,BAY,BAY
Jordan Fusco,,SD
Jordan Silkowitz,BAY,BAY
Jordyn Bloomer,LOU,LOU
Jordyn Bugg,RGN,RGN
Jordyn Huitema,RGN,RGN
Julia Bianchi,CHI,
Julia Dorsey,NC,
Julia Grosso,CHI,CHI
Julia Grosso (USA),UTA,
Julia Lester,RGN,RGN
Julie Doyle,ORL,ORL
Julie Dufour,,LA
Jun Endo,LA,LA
Justina Gaynor,,CHI
Jyllissa Harris,HOU,HOU
Jéssica Silva,GFC,GFC
KK Ream,,UTA
Kailen Sheridan,SD,SD
Kaitlyn Torpey,SD,POR
Kaleigh Kurtz,NC,NC
Kaleigh Riehl,UTA,UTA
Karlie Lema,,BAY
Kat Asman,POR,ORL
Kate Del Fava,UTA,UTA
Kate Wiesner,WAS,WAS
Katelyn Rowland,BAY,
Katie Fraine,KCC,
Katie Johnson,LA,
Katie Lind,HOU,HOU
Katie Lund,LOU,LOU
Katie O'Kane,,LOU
Katie Scott,,KCC
Katie Zelem,LA,LA
Kayla Colbert,,UTA
Kayla Fischer,LOU,LOU
Kayla Sharples,KCC,KCC
Kaylie Collins,WAS,WAS
Kelley O'Hara,GFC,
Kelli Hubly,POR,BAY
Kennedy Fuller,LA,LA
Kennedy Wesley,SD,SD
Kenza Dali,,SD
Kerolin Nicoli,NC,
Kerry Abello,ORL,ORL
Khyah Harper,,GFC
Kiki Pickett,BAY,BAY
Kiki Van Zanten,HOU,HOU
Kiley Dulaney,,WAS
Kimmi Ascanio,SD,SD
Kirsten Wright,LOU,LOU
Kristen Hamilton,KCC,KCC
Kristen McNabb,SD,SD
Kylie Nadaner,ORL,ORL
Kyra Carusa,SD,SD
Landy Mertz,NC,
Laurel Ivory,RGN,KCC
Lauren Barnes,RGN,RGN
Lauren Flynn,UTA,UTA
Lauren Kozal,POR,
Lauren Milliet,LOU,LOU
Leicy Santos,WAS,WAS
Leilanni Nesbeth,CHI,CHI
Lena Silano,WAS,
Lilly Reale,,GFC
Lily Nabet,LA,LA
Linda Motlhalo,LOU,
Liz Beardsley,,HOU
Lo'eau LaBonta,KCC,KCC
Lorena,,KCC
Luana Bertolucci Paixão,ORL,ORL
Ludmila da Silva,CHI,CHI
Lynn Biyendolo,GFC,RGN
Lyza Jessee,WAS,WAS
M. A. Vignola,LA,LA
Macey Fraser,UTA,UTA
Macey Hodge,,LA
Mackenzie Arnold,POR,POR
Mackenzie Wood,CHI,CHI
Madalyn Pokorny,LOU,LOU
Maddie Dahlien,,RGN
Maddie Mercado,RGN,RGN
Maddie Prohaska,,RGN
Maddy Anderson,,LOU
Madeline Moreau,BAY,BAY
Madison Ayson,HOU,
Madison Curry,LA,RGN
Madison Hammond,LA,LA
Madison Pogarch,UTA,UTA
Maggie Graham,,HOU
Maia Perez,RGN,
Maitane López,GFC,CHI
Makenna Morris,WAS,WAS
Makenzy Robbe,SD,SD
Malia Berkely,NC,NC
Mallie McKenzie,POR,POR
Mallory Swanson,CHI,CHI
Mallory Weber,KCC,
Manaka Hayashi,,CHI
Manaka Matsukubo,NC,NC
Mandy Freeman,GFC,GFC
Mandy McGlynn,UTA,UTA
Margie Detrizio,,WAS
Mariana Larroquette,ORL,ORL
Marie Müller,POR,POR
Marisa DiGrande,LOU,LOU
Marisa Jordan,NC,NC
Marissa Sheva,POR,
Marta,ORL,ORL
Mary Long,,KCC
María Sánchez,SD,SD
Maximiliane Rall,CHI,
Maya Doms,BAY,
Maycee Bell,NC,NC
McCall Zerboni,GFC,
McKenna Whitham,,GFC
McKinley Crone,ORL,ORL
Meg Boade,,WAS
Megan Montefusco,ORL,
Megan Reid,LA,LA
Meggie Dougherty Howard,LA,
Meghan Klingenberg,POR,
Melanie Barcenas,SD,SD
Melissa Lowder,BAY,BAY
Meredith Speck,NC,NC
Merritt Mathias,LA,
Messiah Bright,LA,HOU
Mia Justus,,UTA
Micayla Johnson,,CHI
Michele Vasconcelos,UTA,
Michelle Alozie,HOU,HOU
Michelle Betos,GFC,
Michelle Cooper,KCC,KCC
Midge Purce,GFC,GFC
Mikayla Cluff,UTA,UTA
Milly Clegg,LOU,
Mina Tanaka,UTA,UTA
Miyabi Moriya,,LA
Morgan Gautrat,ORL,ORL
Morgan Messner,SD,POR
Morgan Weaver,POR,POR
Mwanalima Jereko,KCC,KCC
Mya Jones,SD,
Naomi Girma,SD,
Narumi Miura,NC,WAS
Natalia Kuikka,CHI,CHI
Natalia Staude,,NC
Natalie Jacobs,HOU,HOU
Nealy Martin,GFC,GFC
Nichelle Prince,KCC,KCC
Nicole Barnhart,WAS,
Nicole Payne,POR,POR
Nikki Stanton,RGN,
Nuria Rábano,,UTA
Nya Harrison,,SD
Nádia Gomes,CHI,CHI
Nérilia Mondésir,RGN,RGN
Oihane Hernández,,ORL
Olivia Athens,RGN,
Olivia Griffitts,UTA,UTA
Olivia Moultrie,POR,POR
Olivia Sekany,,LOU
Olivia Van der Jagt,RGN,RGN
Olivia Wade-Katoa,POR,POR
Olivia Wingate,NC,NC
Ouleymata Sarr,WAS,WAS
Paige Metayer,WAS,WAS
Paige Monaghan,UTA,UTA
Paige Nielsen,HOU,HOU
Parker Goins,LOU,
Paulina Gramaglia,HOU,
Payton Linnehan,POR,POR
Penelope Hocking,BAY,BAY
Perle Morroni,SD,SD
Phoebe McClernon,RGN,RGN
Pietra Tordin,,POR
Princess Marfo,BAY,BAY
Prisca Chilufya,,ORL
Quincy McMahon,,SD
Quinn,RGN,
Racheal Kundananji,BAY,BAY
Rachel Hill,BAY,BAY
Rafaelle Souza,ORL,ORL
Ramona Bachmann,HOU,HOU
Rebeca Bernal,,WAS
Regan Steigleder,KCC,KCC
Reilyn Turner,POR,POR
Reyna Reyes,POR,POR
Riley Jackson,NC,NC
Riley Tiernan,,LA
Rocky Rodríguez,LA,KCC
Rose Lavelle,GFC,GFC
Rosella Ayane,CHI,
Rosemonde Kouassi,WAS,WAS
Ryan Campbell,,GFC
Ryan Gareis,HOU,HOU
Ryan Williams,NC,NC
Ryanne Brown,RGN,RGN
Sam Coffey,POR,POR
Sam Hiatt,GFC,POR
Sam Meza,,RGN
Sam Staab,CHI,CHI
Sandy MacIver,,WAS
Sarah Gorden,LA,LA
Sarah Griffith,CHI,CHI
Sarah Puntigam,HOU,HOU
Sarah Schupansky,,GFC
Sarah Weber,,LOU
Savannah DeMelo,LOU,LOU
Savannah McCaskill,SD,SD
Savy King,BAY,LA
Shae Holmes,RGN,RGN
Shaelan Murison,UTA,
Shea Groom,CHI,CHI
Shelby Hogan,POR,GFC
Shinomi Koyama,,NC
Simone Charley,ORL,ORL
Sinead Farrelly,GFC,
Sofia Cook,,GFC
Sofia Manner,ORL,
Sophia Wilson,POR,POR
Sophie Hirst,POR,POR
Sophie Jones,CHI,
Sophie Schmidt,HOU,HOU
Stella Nyamekye,,GFC
Stine Ballisager Pedersen,KCC,
Summer Yates,ORL,ORL
Svava Guðmundsdóttir,GFC,
Sydney Collins,NC,NC
Sydney Jones,,UTA
Sydney Leroux,LA,LA
Sydney Schneider,CHI,
Tara McKeown,WAS,WAS
Tarciane,HOU,
Taryn Torres,GFC,GFC
Tatumn Milazzo,CHI,UTA
Taylor Flint,LOU,LOU
Taylor Huff,,BAY
Taylor Malham,CHI,CHI
Temwa Chawinga,KCC,KCC
Tess Boade,BAY,BAY
Tierna Davidson,GFC,GFC
Trinity Armstrong,,SD
Trinity Byars,SD,SD
Trinity Rodman,WAS,WAS
Tyler Lussi,NC,NC
Tziarra King,RGN,
Uchenna Kanu,LOU,LOU
Vanessa DiBernardo,KCC,KCC
Veronica Latsko,RGN,RGN
Victoria Pickett,NC,
Viviana Villacorta,ORL,ORL
Yazmeen Ryan,GFC,HOU
Yuki Nagasato,HOU,
Zara Chavoshi,,ORL
Zoe Burns,UTA,
Zoe Matthews,HOU,HOU
Ángela Barón,LOU,LOU
