player,team_old,team_new
Jordan Brewster,,BAY
Jordan Silkowitz,KCC,KCC
Jordyn Bloomer,LOU,LOU
Jordyn Huitema,RGN,RGN
Jordyn Listro,ORL,
Julia Bianchi,CHI,CHI
Julia Dorsey,,NC
Julia Lester,LOU,RGN
Julie Doyle,ORL,ORL
Jun Endo,LA,LA
Jyllissa Harris,HOU,HOU
Kailen Sheridan,SD,SD
Kaitlyn Torpey,,SD
Kaleigh Kurtz,NC,NC
Kaleigh Riehl,SD,UTA
Kat Asman,,POR
Kate Del Fava,KCC,UTA
Kate Wiesner,,WAS
Katelyn Rowland,NC,BAY
Katie Johnson,LA,LA
Katie Lind,HOU,HOU
Katie Lund,LOU,LOU
Katie Stengel,NJNY,NJNY
Kayla Fischer,LOU,LOU
Kayla Sharples,CHI,BAY
Kaylie Collins,ORL,ORL
Kelley O'Hara,NJNY,NJNY
Kelli Hubly,POR,POR
Kelsey Hill,LA,
Kelsey Turnbow,SD,
Kennedy Fuller,,LA
Kennedy Wesley,,SD
Kerolin,NC,NC
Kerry Abello,ORL,ORL
Kiki Pickett,NC,BAY
Kirsten Wright,LOU,LOU
Kristen Edmonds,NJNY,NJNY
Kristen Hamilton,KCC,KCC
Kristen McNabb,SD,SD
Kristie Mewis,NJNY,
Kylie Strom,ORL,ORL
Kyra Carusa,SD,SD
Landy Mertz,,NC
Laurel Ivory,RGN,RGN
Lauren,KCC,KCC
Lauren Barnes,RGN,RGN
Lauren Brzykcy,SD,
Lauren Flynn,,UTA
Lauren Kozal,POR,POR
Lauren Milliet,LOU,LOU
Leilanni Nesbeth,,CHI
Lena Silano,WAS,WAS
Lily Nabet,LA,LA
Lily Woodham,,RGN
Linda Motlhalo,,LOU
Lindsi Jennings,HOU,
Lo'eau LaBonta,KCC,KCC
Luana,,ORL
Luany Vitória da Silva Rosa,RGN,RGN
Lynn Williams,NJNY,NJNY
Lysianne Proulx,,BAY
Lyza Bosselmann,WAS,WAS
M. A. Vignola,LA,LA
Mackenzie Pluck,LA,
Mackenzie Wood,CHI,CHI
Madalyn Pokorny,LOU,LOU
Maddie Elwell,WAS,
Maddie Mercado,,RGN
Madelyn Desiano,HOU,HOU
Madison Curry,,LA
Madison Hammond,LA,LA
Madison Pogarch,SD,UTA
Maia Pérez,RGN,RGN
Maitane López,NJNY,NJNY
Makamae Gomera-Stevens,HOU,
Makenna Morris,,WAS
Makenzy Doniak,SD,SD
Malia Berkely,NC,NC
Mallory Swanson,CHI,CHI
Mallory Weber,KCC,KCC
Mana Shim,NJNY,
Manaka Matsukubo,NC,NC
Mandy Freeman,NJNY,NJNY
Mandy Haught,NJNY,UTA
Mariana Larroquette,ORL,ORL
Marie Müller,,POR
Marisa Bova,NC,NC
Marisa DiGrande,HOU,LOU
Marissa Sheva,WAS,POR
Marley Canales,RGN,
Marta,ORL,ORL
María Sánchez,HOU,HOU
Maximiliane Rall,,CHI
Maya Doms,,BAY
Maya McCutcheon,,NC
Maycee Bell,,NJNY
McCall Zerboni,NJNY,NJNY
McKenzie Weinert,,RGN
McKinley Crone,ORL,ORL
Meaghan Nally,POR,POR
Megan Montefusco,ORL,ORL
Megan Reid,LA,LA
Meggie Dougherty Howard,SD,LA
Meghan Klingenberg,POR,POR
Melanie Barcenas,SD,SD
Melissa Lowder,,BAY
Meredith Speck,NC,NC
Merritt Mathias,LA,LA
Messiah Bright,ORL,LA
Mia Gyau,SD,
Michele Vasconcelos,POR,UTA
Michelle Alozie,HOU,HOU
Michelle Betos,NJNY,NJNY
Michelle Cooper,KCC,KCC
Midge Purce,NJNY,NJNY
Mikayla Cluff,ORL,UTA
Mille Gejl,NC,NC
Milly Clegg,,LOU
Mimmi Larsson,KCC,
Morgan Gautrat,KCC,ORL
Morgan Messner,,SD
Morgan Weaver,POR,POR
Mya Jones,,SD
Nadia Nadim,LOU,
Naomi Girma,SD,SD
Narumi Miura,NC,NC
Natalia Kuikka,POR,CHI
Natalie Beckman,POR,
Natalie Jacobs,HOU,HOU
Nealy Martin,NJNY,NJNY
Nichelle Prince,HOU,KCC
Nicole Barnhart,WAS,WAS
Nicole Douglas,WAS,
Nicole Payne,,POR
Nikki Stanton,RGN,RGN
Nádia Gomes,,CHI
Olivia Athens,RGN,RGN
Olivia Moultrie,POR,POR
Olivia Sekany,LOU,LOU
Olivia Van der Jagt,RGN,RGN
Olivia Wade-Katoa,,POR
Olivia Wingate,NC,NC
Ouleymata Sarr,WAS,WAS
Paige Metayer,WAS,WAS
Paige Monaghan,LOU,UTA
Paige Nielsen,LA,LA
Parker Goins,LOU,LOU
Paulina Gramaglia,HOU,HOU
Payton Linnehan,,POR
Penelope Hocking,CHI,CHI
Phoebe McClernon,RGN,RGN
Princess Marfo,,BAY
Quinn,RGN,RGN
Racheal Kundananji,,BAY
Rachel Hill,SD,BAY
Rafaelle Souza,ORL,ORL
Rebecca Holloway,LOU,
Reilyn Turner,,LOU
Reyna Reyes,POR,POR
Rikako Kobayashi,NC,NC
Rikke Madsen,NC,
Rikke Sevecke,POR,
Riley Jackson,NC,NC
Riley Tanner,WAS,WAS
Rocky Rodríguez,POR,LA
Rose Lavelle,RGN,NJNY
Ryan Gareis,HOU,HOU
Ryan Williams,NC,NC
Ryanne Brown,RGN,RGN
Rylan Childers,KCC,
Sabrina Flores,NJNY,
Sam Coffey,POR,POR
Sam Hiatt,RGN,NJNY
Sam Mewis,KCC,
Sam Meza,,RGN
Sam Staab,WAS,CHI
Samantha Feller,CHI,CHI
Samantha Fisher,CHI,
Sarah Clark,NC,
Sarah Gorden,LA,LA
Sarah Griffith,CHI,CHI
Sarah Puntigam,HOU,HOU
Savannah DeMelo,LOU,LOU
Savannah Madden,HOU,HOU
Savannah McCaskill,LA,SD
Savy King,,BAY
Scarlett Camberos,LA,BAY
Shae Holmes,RGN,RGN
Shae Yáñez,SD,
Shea Groom,HOU,CHI
Shelby Hogan,POR,POR
Sierra Enge,SD,SD
Simone Charley,LA,ORL
Sinead Farrelly,NJNY,NJNY
Sofia Huerta,RGN,RGN
Sofia Jakobsson,SD,SD
Sofia Manner,,ORL
Sophia Smith,POR,POR
Sophie Braun,,KCC
Sophie Hirst,HOU,HOU
Sophie Jones,CHI,CHI
Sophie Schmidt,HOU,HOU
Steigleder Regan,,KCC
Stine Ballisager,KCC,KCC
Summer Yates,ORL,ORL
Svava Gudmundsdóttir,NJNY,NJNY
Sydney Collins,NC,NC
Sydney Leroux,LA,LA
Sydney Schneider,,CHI
Talia Staude,,NC
Tara McKeown,WAS,WAS
Taryn Torres,NJNY,NJNY
Tatumn Milazzo,CHI,CHI
Taylor Aylmer,LOU,
Taylor Flint,SD,LOU
Taylor Malham,CHI,CHI
Taylor Porter,POR,
Taylor Smith,NJNY,NJNY
Tegan McGrady,POR,
Temwa Chawinga,,KCC
Tess Boade,NC,BAY
Thais Reiss,ORL,
Thembi Kgatlana,LOU,
Tierna Davidson,CHI,NJNY
Tori Hansen,ORL,ORL
Tori Huster,WAS,
Trinity Rodman,WAS,WAS
Tyler Lussi,NC,NC
Tziarra King,RGN,RGN
Uchenna Kanu,LOU,LOU
Vanessa DiBernardo,KCC,KCC
Vanessa Gilles,LA,LA
Veronica Latsko,RGN,RGN
Victoria Pickett,NC,NC
Viviana Villacorta,ORL,ORL
Wang Shuang,LOU,
Yazmeen Ryan,NJNY,NJNY
Yuki Nagasato,CHI,HOU
Yuuka Kurosaki,,LOU
Zoe Burns,,UTA
