player,team_old,team_new
Nealy Martin,LOU,NJY
Nichelle Prince,HOU,HOU
Nicole Barnhart,WAS,WAS
Nicole Baxter,NJY,
Nicole Douglas,,WAS
Nikki Stanton,RGN,RGN
Olivia Athens,RGN,RGN
Olivia Moultrie,POR,POR
Olivia Van der Jagt,RGN,RGN
Olivia Wingate,,NC
Paige Metayer,,WAS
Paige Monaghan,NJY,LOU
Paige Nielsen,LA,LA
Parker Goins,LOU,LOU
Parker Roberts,ORL,
Paulina Gramaglia,HOU,HOU
Penelope Hocking,,CHI
Phallon Tullis-Joyce,RGN,RGN
Phoebe McClernon,RGN,RGN
Quinn,RGN,RGN
Rachel Hill,CHI,SD
Raquel Rodríguez,POR,POR
Rebecca Holloway,LOU,LOU
Rikke Madsen,NC,NC
Riley Parker,,LOU
Riley Tanner,,WAS
Rose Lavelle,RGN,RGN
Ryan Gareis,HOU,HOU
Ryan Williams,NC,NC
Ryanne Brown,RGN,RGN
Rylan Childers,,KC
Rylee Baisden,NC,
Sabrina Flores,NJY,NJY
Sam Coffey,POR,POR
Sam Hiatt,RGN,RGN
Sam Mewis,KC,KC
Sam Staab,WAS,WAS
Samantha Fisher,CHI,CHI
Sarah Gorden,LA,LA
Sarah Griffith,CHI,CHI
Sarah Luebert,CHI,
Sarah Woldmoe,CHI,
Satara Murray,LOU,LOU
Savannah DeMelo,LOU,LOU
Savannah McCaskill,LA,LA
Shea Groom,HOU,HOU
Shelby Hogan,POR,POR
Sierra Enge,,SD
Simone Charley,LA,LA
Sinclaire Miramontez,RGN,
Sofia Huerta,RGN,RGN
Sofia Jakobsson,SD,SD
Sophia Smith,POR,POR
Sophie Hirst,,HOU
Sophie Jones,,CHI
Sophie Schmidt,HOU,HOU
Steffany Ferrer Van Ginkel,LA,
Summer Yates,,ORL
Svava Rós Guðmundsdóttir,,NJY
Sydney Collins,,NC
Sydney Leroux,LA,LA
Sydney Pulver,SD,
Sydney Schneider,KC,
Tara McKeown,WAS,WAS
Taryn Torres,NJY,NJY
Tatumn Milazzo,CHI,CHI
Taylor Aylmer,WAS,
Taylor Hansen,SD,
Taylor Kornieck,SD,SD
Taylor Leach,KC,
Taylor Malham,LOU,CHI
Taylor Porter,POR,POR
Taylor Smith,NJY,NJY
Tegan McGrady,POR,POR
Tess Boade,NC,NC
Thais Reiss,ORL,
Thembi Kgatlana,LOU,LOU
Tierna Davidson,CHI,CHI
Tiernny Wiltshire,HOU,
Tobin Heath,RGN,
Toni Pressley,ORL,
Tori Huster,WAS,WAS
Trinity Rodman,WAS,WAS
Tyler Lussi,LA,NC
Tziarra King,RGN,RGN
Uchenna Kanu,,LOU
Valérie Gauvin,HOU,
Vanessa DiBernardo,CHI,KC
Vanessa Gilles,LA,LA
Veronica Latsko,RGN,RGN
Victoria Pickett,NJY,NJY
Viviana Villacorta,ORL,ORL
Wang Shuang,LOU,LOU
Yazmeen Ryan,POR,NJY
Yuki Nagasato,CHI,CHI
Zaneta Wyne,LOU,LOU
Zoe Morse,CHI,
