p1,p2,minutes
Kristie Mewis,Becky Sauerbrunn,341
Kristie Mewis,Kelley O'Hara,320
Kristie Mewis,Kristie Mewis,780
Kristie Mewis,Andi Sullivan,386
Kristie Mewis,Rose Lavelle,254
Kristie Mewis,Mallory Swanson,465
Kristie Mewis,Carli Lloyd,106
Kristie Mewis,Lynn Williams,259
Kristie Mewis,Catarina Macario,206
Kristie Mewis,Abby Dahlkemper,64
Kristie Mewis,Alex Morgan,178
Kristie Mewis,Tobin Heath,20
Kristie Mewis,Sophia Smith,224
Kristie Mewis,Emily Sonnett,299
Kristie Mewis,Jane Campbell,20
Kristie Mewis,Casey Krueger,52
Kristie Mewis,Lindsey Horan,199
Kristie Mewis,Megan Rapinoe,130
Kristie Mewis,Emily Fox,435
Kristie Mewis,Casey Murphy,383
Kristie Mewis,Alana Cook,557
Kristie Mewis,Ashley Hatch,199
Kristie Mewis,Midge Purce,252
Kristie Mewis,Bethany Balcer,6
Kristie Mewis,Sofia Huerta,395
Kristie Mewis,Ashley Sanchez,481
Kristie Mewis,Morgan Weaver,26
Kristie Mewis,Imani Dorsey,13
Kristie Mewis,Morgan Gautrat,0
Kristie Mewis,Trinity Rodman,220
Kristie Mewis,Alyssa Naeher,274
Kristie Mewis,Jaelin Howell,83
Kristie Mewis,Aubrey Kingsbury,0
Kristie Mewis,Naomi Girma,216
Kristie Mewis,Sam Mewis,0
Kristie Mewis,Taylor Kornieck,131
Kristie Mewis,Carson Pickett,44
Kristie Mewis,Hailie Mace,21
Kristie Mewis,Sam Coffey,0
Kristie Mewis,Alyssa Thompson,30
Kristie Mewis,Julie Ertz,30
Andi Sullivan,Adriana Franch,90
Andi Sullivan,Crystal Dunn,283
Andi Sullivan,Tierna Davidson,576
Andi Sullivan,Becky Sauerbrunn,1117
Andi Sullivan,Kelley O'Hara,609
Andi Sullivan,Kristie Mewis,386
Andi Sullivan,Andi Sullivan,1970
Andi Sullivan,Rose Lavelle,1337
Andi Sullivan,Mallory Swanson,1209
Andi Sullivan,Carli Lloyd,185
Andi Sullivan,Lynn Williams,337
Andi Sullivan,Catarina Macario,506
Andi Sullivan,Abby Dahlkemper,255
Andi Sullivan,Alex Morgan,977
Andi Sullivan,Tobin Heath,36
Andi Sullivan,Sophia Smith,1273
Andi Sullivan,Emily Sonnett,574
Andi Sullivan,Jane Campbell,161
Andi Sullivan,Casey Krueger,61
Andi Sullivan,Lindsey Horan,1298
Andi Sullivan,Megan Rapinoe,240
Andi Sullivan,Emily Fox,1300
Andi Sullivan,Casey Murphy,921
Andi Sullivan,Alana Cook,1368
Andi Sullivan,Ashley Hatch,372
Andi Sullivan,Midge Purce,398
Andi Sullivan,Bethany Balcer,6
Andi Sullivan,Sofia Huerta,935
Andi Sullivan,Ashley Sanchez,635
Andi Sullivan,Morgan Weaver,26
Andi Sullivan,Imani Dorsey,9
Andi Sullivan,Morgan Gautrat,46
Andi Sullivan,Trinity Rodman,484
Andi Sullivan,Alyssa Naeher,708
Andi Sullivan,Jaelin Howell,0
Andi Sullivan,Aubrey Kingsbury,90
Andi Sullivan,Naomi Girma,609
Andi Sullivan,Sam Mewis,44
Andi Sullivan,Taylor Kornieck,8
Andi Sullivan,Carson Pickett,62
Andi Sullivan,Hailie Mace,123
Andi Sullivan,Sam Coffey,0
Andi Sullivan,Alyssa Thompson,46
Andi Sullivan,Julie Ertz,0
Rose Lavelle,Adriana Franch,149
Rose Lavelle,Crystal Dunn,317
Rose Lavelle,Tierna Davidson,472
Rose Lavelle,Becky Sauerbrunn,961
Rose Lavelle,Kelley O'Hara,418
Rose Lavelle,Kristie Mewis,254
Rose Lavelle,Andi Sullivan,1337
Rose Lavelle,Rose Lavelle,1847
Rose Lavelle,Mallory Swanson,1262
Rose Lavelle,Carli Lloyd,106
Rose Lavelle,Lynn Williams,290
Rose Lavelle,Catarina Macario,296
Rose Lavelle,Abby Dahlkemper,173
Rose Lavelle,Alex Morgan,977
Rose Lavelle,Tobin Heath,65
Rose Lavelle,Sophia Smith,1158
Rose Lavelle,Emily Sonnett,474
Rose Lavelle,Jane Campbell,105
Rose Lavelle,Casey Krueger,129
Rose Lavelle,Lindsey Horan,1390
Rose Lavelle,Megan Rapinoe,365
Rose Lavelle,Emily Fox,1188
Rose Lavelle,Casey Murphy,801
Rose Lavelle,Alana Cook,1200
Rose Lavelle,Ashley Hatch,367
Rose Lavelle,Midge Purce,350
Rose Lavelle,Bethany Balcer,6
Rose Lavelle,Sofia Huerta,997
Rose Lavelle,Ashley Sanchez,336
Rose Lavelle,Morgan Weaver,30
Rose Lavelle,Imani Dorsey,13
Rose Lavelle,Morgan Gautrat,46
Rose Lavelle,Trinity Rodman,334
Rose Lavelle,Alyssa Naeher,746
Rose Lavelle,Jaelin Howell,22
Rose Lavelle,Aubrey Kingsbury,46
Rose Lavelle,Naomi Girma,786
Rose Lavelle,Sam Mewis,0
Rose Lavelle,Taylor Kornieck,91
Rose Lavelle,Carson Pickett,124
Rose Lavelle,Hailie Mace,141
Rose Lavelle,Sam Coffey,128
Rose Lavelle,Alyssa Thompson,7
Rose Lavelle,Julie Ertz,13
Mallory Swanson,Adriana Franch,103
Mallory Swanson,Crystal Dunn,314
Mallory Swanson,Tierna Davidson,382
Mallory Swanson,Becky Sauerbrunn,832
Mallory Swanson,Kelley O'Hara,481
Mallory Swanson,Kristie Mewis,465
Mallory Swanson,Andi Sullivan,1209
Mallory Swanson,Rose Lavelle,1262
Mallory Swanson,Mallory Swanson,1688
Mallory Swanson,Carli Lloyd,141
Mallory Swanson,Lynn Williams,195
Mallory Swanson,Catarina Macario,364
Mallory Swanson,Abby Dahlkemper,206
Mallory Swanson,Alex Morgan,959
Mallory Swanson,Tobin Heath,0
Mallory Swanson,Sophia Smith,1065
Mallory Swanson,Emily Sonnett,385
Mallory Swanson,Jane Campbell,116
Mallory Swanson,Casey Krueger,83
Mallory Swanson,Lindsey Horan,1130
Mallory Swanson,Megan Rapinoe,25
Mallory Swanson,Emily Fox,1309
Mallory Swanson,Casey Murphy,677
Mallory Swanson,Alana Cook,1188
Mallory Swanson,Ashley Hatch,274
Mallory Swanson,Midge Purce,176
Mallory Swanson,Bethany Balcer,0
Mallory Swanson,Sofia Huerta,838
Mallory Swanson,Ashley Sanchez,505
Mallory Swanson,Morgan Weaver,0
Mallory Swanson,Imani Dorsey,0
Mallory Swanson,Morgan Gautrat,46
Mallory Swanson,Trinity Rodman,308
Mallory Swanson,Alyssa Naeher,746
Mallory Swanson,Jaelin Howell,67
Mallory Swanson,Aubrey Kingsbury,46
Mallory Swanson,Naomi Girma,696
Mallory Swanson,Sam Mewis,0
Mallory Swanson,Taylor Kornieck,148
Mallory Swanson,Carson Pickett,28
Mallory Swanson,Hailie Mace,11
