date,player,enter,exit
2022-07-18,Becky Sauerbrunn,0,90
2022-07-18,Alana Cook,0,90
2022-07-18,Sofia Huerta,0,90
2022-07-18,Lindsey Horan,0,90
2022-07-18,Andi Sullivan,0,90
2022-07-18,Rose Lavelle,0,89
2022-07-18,Mallory Swanson,0,89
2022-07-18,Alex Morgan,0,89
2022-07-18,Sophia Smith,0,88
2022-07-18,Naomi Girma,89,90
2022-07-18,Taylor Kornieck,89,90
2022-07-18,Trinity Rodman,89,90
2022-07-18,Midge Purce,88,90
2022-09-03,Alyssa Naeher,0,90
2022-09-03,Emily Fox,0,70
2022-09-03,Alana Cook,0,90
2022-09-03,Becky Sauerbrunn,0,90
2022-09-03,Sofia Huerta,0,90
2022-09-03,Andi Sullivan,0,90
2022-09-03,Lindsey Horan,0,64
2022-09-03,Rose Lavelle,0,70
2022-09-03,Mallory Swanson,0,64
2022-09-03,Alex Morgan,0,70
2022-09-03,Sophia Smith,0,65
2022-09-03,Ashley Hatch,70,90
2022-09-03,Hailie Mace,70,90
2022-09-03,Kristie Mewis,70,90
2022-09-03,Megan Rapinoe,64,90
2022-09-03,Ashley Sanchez,64,90
2022-09-03,Midge Purce,65,90
2022-09-06,Casey Murphy,0,90
2022-09-06,Emily Fox,0,80
2022-09-06,Naomi Girma,0,90
2022-09-06,Alana Cook,0,90
2022-09-06,Sofia Huerta,0,90
2022-09-06,Lindsey Horan,0,90
2022-09-06,Sam Coffey,0,90
2022-09-06,Rose Lavelle,0,90
2022-09-06,Mallory Swanson,0,90
2022-09-06,Alex Morgan,0,80
2022-09-06,Sophia Smith,0,65
2022-09-06,Ashley Hatch,80,90
2022-09-06,Hailie Mace,80,90
2022-09-06,Megan Rapinoe,65,90
2022-10-07,Alyssa Naeher,0,90
2022-10-07,Emily Fox,0,22
2022-10-07,Naomi Girma,0,83
2022-10-07,Alana Cook,0,90
2022-10-07,Sofia Huerta,0,63
2022-10-07,Andi Sullivan,0,63
2022-10-07,Lindsey Horan,0,90
2022-10-07,Trinity Rodman,0,83
2022-10-07,Megan Rapinoe,0,83
2022-10-07,Sophia Smith,0,90
2022-10-07,Rose Lavelle,0,90
2022-10-07,Sam Coffey,63,90
2022-10-07,Crystal Dunn,63,90
2022-10-07,Hailie Mace,22,90
2022-10-07,Ashley Sanchez,83,90
2022-10-07,Becky Sauerbrunn,83,90
2022-10-07,Alyssa Thompson,83,90
2022-10-11,Casey Murphy,0,90
2022-10-11,Carson Pickett,0,62
2022-10-11,Becky Sauerbrunn,0,90
2022-10-11,Alana Cook,0,90
2022-10-11,Hailie Mace,0,62
2022-10-11,Lindsey Horan,0,90
2022-10-11,Andi Sullivan,0,62
2022-10-11,Rose Lavelle,0,73
2022-10-11,Megan Rapinoe,0,64
2022-10-11,Sophia Smith,0,90
2022-10-11,Trinity Rodman,0,46
2022-10-11,Sam Coffey,62,90
2022-10-11,Crystal Dunn,62,90
2022-10-11,Ashley Hatch,46,90
2022-10-11,Sofia Huerta,62,90
2022-10-11,Ashley Sanchez,64,90
2022-10-11,Alyssa Thompson,73,90
2022-11-10,Casey Murphy,0,90
2022-11-10,Emily Fox,0,63
2022-11-10,Naomi Girma,0,90
2022-11-10,Alana Cook,0,90
2022-11-10,Sofia Huerta,0,90
2022-11-10,Andi Sullivan,0,63
2022-11-10,Lindsey Horan,0,81
2022-11-10,Rose Lavelle,0,63
2022-11-10,Mallory Swanson,0,73
2022-11-10,Alex Morgan,0,90
2022-11-10,Sophia Smith,0,73
2022-11-10,Sam Coffey,63,90
2022-11-10,Crystal Dunn,63,90
2022-11-10,Taylor Kornieck,63,90
2022-11-10,Trinity Rodman,73,90
2022-11-10,Megan Rapinoe,73,90
2022-11-10,Ashley Sanchez,81,90
2022-11-13,Alyssa Naeher,0,90
2022-11-13,Emily Fox,0,90
2022-11-13,Becky Sauerbrunn,0,90
2022-11-13,Naomi Girma,0,90
2022-11-13,Sofia Huerta,0,90
2022-11-13,Andi Sullivan,0,83
2022-11-13,Lindsey Horan,0,90
2022-11-13,Rose Lavelle,0,90
2022-11-13,Mallory Swanson,0,90
2022-11-13,Alex Morgan,0,83
2022-11-13,Sophia Smith,0,89
2022-11-13,Taylor Kornieck,83,90
2022-11-13,Hailie Mace,89,90
2022-11-13,Kristie Mewis,83,90
2023-01-17,Alyssa Naeher,0,90
2023-01-17,Crystal Dunn,0,46
2023-01-17,Becky Sauerbrunn,0,90
2023-01-17,Naomi Girma,0,46
2023-01-17,Emily Fox,0,90
2023-01-17,Lindsey Horan,0,90
2023-01-17,Taylor Kornieck,0,46
2023-01-17,Rose Lavelle,0,61
2023-01-17,Mallory Swanson,0,67
2023-01-17,Alex Morgan,0,90
2023-01-17,Midge Purce,0,46
2023-01-17,Alana Cook,46,90
2023-01-17,Sofia Huerta,46,90
2023-01-17,Trinity Rodman,46,90
2023-01-17,Ashley Sanchez,61,90
2023-01-17,Andi Sullivan,46,90
2023-01-17,Lynn Williams,67,90
2023-01-20,Mallory Swanson,0,90
2023-01-20,Ashley Hatch,0,61
2023-01-20,Trinity Rodman,0,62
2023-01-20,Ashley Sanchez,0,61
2023-01-20,Andi Sullivan,0,62
2023-01-20,Rose Lavelle,0,90
2023-01-20,Crystal Dunn,0,46
2023-01-20,Naomi Girma,0,46
2023-01-20,Alana Cook,0,90
2023-01-20,Sofia Huerta,0,90
2023-01-20,Casey Murphy,0,90
2023-01-20,Lynn Williams,62,90
2023-01-20,Midge Purce,61,90
2023-01-20,Emily Sonnett,46,90
2023-01-20,Taylor Kornieck,62,90
2023-01-20,Kristie Mewis,61,90
2023-01-20,Emily Fox,46,90
2023-02-16,Alyssa Naeher,0,90
2023-02-16,Emily Fox,0,90
2023-02-16,Alana Cook,0,90
2023-02-16,Becky Sauerbrunn,0,90
2023-02-16,Crystal Dunn,0,46
2023-02-16,Ashley Sanchez,0,61
2023-02-16,Andi Sullivan,0,90
2023-02-16,Lindsey Horan,0,88
2023-02-16,Trinity Rodman,0,78
2023-02-16,Alex Morgan,0,61
2023-02-16,Mallory Swanson,0,88
2023-02-16,Lynn Williams,78,90
2023-02-16,Ashley Hatch,61,90
2023-02-16,Midge Purce,88,90
2023-02-16,Emily Sonnett,46,90
2023-02-16,Taylor Kornieck,88,90
2023-02-16,Kristie Mewis,61,90
2023-02-19,Casey Murphy,0,90
2023-02-19,Emily Fox,0,90
2023-02-19,Naomi Girma,0,90
2023-02-19,Alana Cook,0,90
2023-02-19,Sofia Huerta,0,46
2023-02-19,Lindsey Horan,0,85
2023-02-19,Kristie Mewis,0,90
2023-02-19,Ashley Sanchez,0,65
2023-02-19,Mallory Swanson,0,70
2023-02-19,Alex Morgan,0,71
2023-02-19,Lynn Williams,0,65
2023-02-19,Ashley Hatch,71,90
2023-02-19,Taylor Kornieck,85,90
2023-02-19,Trinity Rodman,65,90
2023-02-19,Megan Rapinoe,70,90
2023-02-19,Emily Sonnett,46,90
2023-02-19,Andi Sullivan,65,90
2023-02-22,Alyssa Naeher,0,90
2023-02-22,Crystal Dunn,0,61
2023-02-22,Becky Sauerbrunn,0,90
2023-02-22,Naomi Girma,0,90
2023-02-22,Emily Fox,0,90
2023-02-22,Lindsey Horan,0,90
2023-02-22,Andi Sullivan,0,80
2023-02-22,Rose Lavelle,0,71
2023-02-22,Mallory Swanson,0,71
2023-02-22,Alex Morgan,0,81
2023-02-22,Trinity Rodman,0,61
2023-02-22,Taylor Kornieck,81,90
2023-02-22,Kristie Mewis,80,90
2023-02-22,Megan Rapinoe,71,90
2023-02-22,Ashley Sanchez,71,90
2023-02-22,Emily Sonnett,61,90
2023-02-22,Lynn Williams,61,90
2023-04-08,Alyssa Naeher,0,90
2023-04-08,Crystal Dunn,0,67
2023-04-08,Becky Sauerbrunn,0,90
2023-04-08,Naomi Girma,0,90
2023-04-08,Emily Fox,0,90
2023-04-08,Lindsey Horan,0,90
2023-04-08,Andi Sullivan,0,67
2023-04-08,Rose Lavelle,0,80
2023-04-08,Mallory Swanson,0,46
2023-04-08,Alex Morgan,0,67
2023-04-08,Sophia Smith,0,90
2023-04-08,Julie Ertz,67,90
2023-04-08,Ashley Hatch,67,90
2023-04-08,Trinity Rodman,46,90
2023-04-08,Ashley Sanchez,80,90
2023-04-08,Emily Sonnett,67,90
2023-04-11,Casey Murphy,0,90
2023-04-11,Kelley O'Hara,0,46
2023-04-11,Becky Sauerbrunn,0,29
2023-04-11,Alana Cook,0,90
2023-04-11,Sofia Huerta,0,90
2023-04-11,Lindsey Horan,0,60
2023-04-11,Andi Sullivan,0,46
2023-04-11,Ashley Sanchez,0,90
2023-04-11,Alyssa Thompson,0,90
2023-04-11,Alex Morgan,0,46
2023-04-11,Sophia Smith,0,46
2023-04-11,Tierna Davidson,29,90
2023-04-11,Julie Ertz,46,90
2023-04-11,Ashley Hatch,46,90
2023-04-11,Casey Krueger,46,90
2023-04-11,Kristie Mewis,60,90
2023-04-11,Trinity Rodman,46,90
