p1,p2,combos,p1g,p1a,p2g,p2a,p1g_p2a,p2g_p1a,goals
Christen Press,Amy Rodriguez,1,34,9,24,2,0,1,58
Sam Kerr,Erin Simon,1,57,13,0,3,1,0,57
Debinha,Taylor Smith,1,51,20,6,7,1,0,57
Lindsey Horan,Sophia Smith,1,31,14,26,4,0,1,57
Christine Sinclair,Caitlin Foord,1,53,11,3,2,1,0,56
Ashley Hatch,Makenzy Doniak,1,45,5,11,10,1,0,56
Mallory Pugh,Midge Purce,1,31,15,25,9,0,1,56
Debinha,Denise O'Sullivan,1,51,20,4,12,1,0,55
Debinha,Elizabeth Eddy,1,51,20,4,4,0,1,55
Debinha,Cari Roccaro,1,51,20,4,2,1,0,55
Rachel Daly,Chioma Ubogagu,1,42,11,13,7,0,1,55
Kristen Hamilton,Crystal Dunn,1,31,12,24,18,0,1,55
Christine Sinclair,Samantha Grace Coffey,1,53,11,1,2,1,0,54
Christine Sinclair,Katherine Reynolds,1,53,11,1,1,1,0,54
Debinha,Heather O'Reilly,1,51,20,3,3,1,0,54
Debinha,Kaleigh Kurtz,1,51,20,3,2,0,1,54
Alex Morgan,Makenzy Doniak,1,43,14,11,10,0,1,54
Rachel Daly,Veronica Latsko,1,42,11,12,6,1,0,54
Shea Groom,Carli Lloyd,1,29,18,25,6,0,1,54
Christine Sinclair,Meghan Klingenberg,1,53,11,0,21,1,0,53
Debinha,Julia Spetsmark,1,51,20,2,1,1,0,53
Debinha,Lauren Milliet,1,51,20,2,2,1,0,53
Christen Press,Yuki Nagasato,1,34,9,19,23,0,1,53
Mallory Pugh,Kristie Mewis,1,31,15,22,19,1,0,53
Shea Groom,Amy Rodriguez,1,29,18,24,2,0,1,53
Debinha,Carson Pickett,1,51,20,1,16,1,0,52
Ashley Hatch,Kelley O'Hara,1,45,5,7,10,1,0,52
Debinha,Emily Gray,1,51,20,0,2,1,0,51
Debinha,Ryan Williams,1,51,20,0,6,1,0,51
Marta,Sydney Leroux,1,27,14,24,7,1,0,51
Christen Press,Savannah McCaskill,1,34,9,16,11,0,1,50
Ashley Hatch,Crystal Thomas,1,45,5,4,2,1,0,49
Alex Morgan,Erika Tymrak,1,43,14,6,8,0,1,49
Kealia Ohai Watt,Kristie Mewis,1,27,16,22,19,0,1,49
Ashley Hatch,Bayley Feist,1,45,5,3,3,0,1,48
Mallory Pugh,Rachel Hill,1,31,15,17,3,0,1,48
Ashley Hatch,Arielle Ship,1,45,5,2,4,1,0,47
Alex Morgan,Kristen McNabb,1,43,14,4,1,0,1,47
Alex Morgan,Sarah Hagen,1,43,14,4,2,0,1,47
Rachel Daly,Janine Beckie,1,42,11,5,5,0,1,47
Rachel Daly,Kyah Simon,1,42,11,5,5,1,0,47
Rachel Daly,Poliana,1,42,11,5,2,1,0,47
Jessica McDonald,Havana Solaun,1,40,34,7,5,0,1,47
Midge Purce,Kristie Mewis,1,25,9,22,19,0,1,47
Ashley Hatch,Julia Roddar,1,45,5,1,2,1,0,46
Ashley Hatch,Chloe Logarzo,1,45,5,1,0,0,1,46
Ashley Hatch,Whitney Church,1,45,5,1,2,1,0,46
Rachel Daly,Denise O'Sullivan,1,42,11,4,12,1,0,46
Rachel Daly,Maria Sánchez,1,42,11,4,7,1,0,46
Lindsey Horan,Rocky Rodriguez,1,31,14,15,8,0,1,46
Kristen Hamilton,CeCe Kizer,1,31,12,15,5,0,1,46
Bethany Balcer,Jodie Taylor,1,27,4,19,5,1,0,46
Marta,Jodie Taylor,1,27,14,19,5,1,0,46
Ashley Hatch,Natalie Ann Jacobs,1,45,5,0,5,1,0,45
Ashley Hatch,Camryn Biegalski,1,45,5,0,1,1,0,45
Ashley Hatch,Anna Heilferty,1,45,5,0,2,1,0,45
Ashley Hatch,Amy Harrison,1,45,5,0,2,1,0,45
Alex Morgan,Belle Briede,1,43,14,2,1,0,1,45
Alex Morgan,Ali Krieger,1,43,14,2,8,1,0,45
Megan Rapinoe,Allie Long,1,33,15,12,6,0,1,45
Shea Groom,Savannah McCaskill,1,29,18,16,11,1,0,45
Alex Morgan,Shelina Zadorsky,1,43,14,1,4,1,0,44
Alex Morgan,Emily van Egmond,1,43,14,1,4,1,0,44
Alex Morgan,Courtney Petersen,1,43,14,1,4,1,0,44
Alex Morgan,Christen Westphal,1,43,14,1,6,1,0,44
Rachel Daly,Thembi Kgatlana,1,42,11,2,3,1,0,44
Jessica McDonald,Meredith Speck,1,40,34,4,7,1,0,44
Jessica McDonald,Savannah Marie DeMelo,1,40,34,4,2,1,0,44
Sofia Huerta,Tobin Heath,1,31,26,13,21,0,1,44
Alex Morgan,Kailen Sheridan,1,43,14,0,1,1,0,43
Alex Morgan,Phoebe McClernon,1,43,14,0,1,1,0,43
Alex Morgan,Maddy Evans,1,43,14,0,1,1,0,43
Jessica McDonald,Abby Dahlkemper,1,40,34,3,4,1,0,43
Jessica McDonald,Kaleigh Kurtz,1,40,34,3,2,1,0,43
Megan Rapinoe,Beverly Yanez,1,33,15,10,4,0,1,43
Mallory Pugh,Cheyna Lee Matthews,1,31,15,12,3,0,1,43
Rachel Daly,Ari Romero,1,42,11,0,1,1,0,42
Rachel Daly,Allysha Chapman,1,42,11,0,2,1,0,42
Rachel Daly,Melissa Henderson,1,42,11,0,1,1,0,42
Christen Press,Casey Krueger,1,34,9,8,6,1,0,42
Lindsey Horan,Morgan Weaver,1,31,14,11,7,1,0,42
Lindsey Horan,Simone Charley,1,31,14,11,3,0,1,42
Mallory Pugh,Vanessa DiBernardo,1,31,15,11,18,1,0,42
Mallory Pugh,Makenzy Doniak,1,31,15,11,10,0,1,42
Carli Lloyd,Ifeoma Onumonu,1,25,6,17,11,0,1,42
Jessica McDonald,Carson Pickett,1,40,34,1,16,1,0,41
Jessica McDonald,McKenzie Meehan,1,40,34,1,1,0,1,41
Shea Groom,Katie Stengel,1,29,18,12,5,1,0,41
Sophia Smith,Rocky Rodriguez,1,26,4,15,8,1,0,41
Carli Lloyd,Savannah McCaskill,1,25,6,16,11,0,1,41
Christen Press,Jen Hoy,1,34,9,6,3,1,0,40
Nadia Nadim,Savannah McCaskill,1,24,8,16,11,1,0,40
Jessica Fishlock,Ifeoma Onumonu,1,23,16,17,11,0,1,40
Megan Rapinoe,Kim Little,1,33,15,6,3,1,0,39
Megan Rapinoe,Christine Nairn,1,33,15,6,14,1,0,39
Sofia Huerta,Casey Krueger,1,31,26,8,6,1,0,39
Sofia Huerta,Eugénie Le Sommer,1,31,26,8,3,1,0,39
Lindsey Horan,Emily Sonnett,1,31,14,8,2,1,0,39
Mallory Pugh,Casey Krueger,1,31,15,8,6,1,0,39
Kristen Hamilton,Merritt Mathias,1,31,12,8,13,1,0,39
Shea Groom,Jasmyne Spencer,1,29,18,10,6,0,1,39
Bethany Balcer,Allie Long,1,27,4,12,6,1,0,39
Kealia Ohai Watt,Katie Johnson,1,27,16,12,11,0,1,39
Nadia Nadim,CeCe Kizer,1,24,8,15,5,0,1,39
Kristie Mewis,Ifeoma Onumonu,1,22,19,17,11,0,1,39
Christen Press,Julie Ertz,1,34,9,4,4,1,0,38
Christen Press,Danielle Colaprico,1,34,9,4,11,1,0,38
Christen Press,Becky Sauerbrunn,1,34,9,4,3,0,1,38
Sofia Huerta,Amber Brooks,1,31,26,7,2,0,1,38
Lindsey Horan,Tyler Lussi,1,31,14,7,4,0,1,38
Mallory Pugh,Havana Solaun,1,31,15,7,5,1,0,38
Bethany Balcer,Darian Jenkins,1,27,4,11,3,0,1,38
Kealia Ohai Watt,Makenzy Doniak,1,27,16,11,10,0,1,38
Midge Purce,Hayley Raso,1,25,9,13,7,0,1,38
Midge Purce,Nahomi Kawasumi,1,25,9,13,21,1,0,38
Carli Lloyd,Nahomi Kawasumi,1,25,6,13,21,1,0,38
Megan Rapinoe,Kristen McNabb,1,33,15,4,1,0,1,37
Sofia Huerta,Jen Hoy,1,31,26,6,3,1,0,37
Lindsey Horan,Dagný Brynjarsdóttir,1,31,14,6,2,1,0,37
Nadia Nadim,Hayley Raso,1,24,8,13,7,1,0,37
Christen Press,Taylor Comeau,1,34,9,2,3,1,0,36
Kristen Hamilton,Leah Pruitt,1,31,12,5,3,1,0,36
Crystal Dunn,Katie Stengel,1,24,18,12,5,0,1,36
Nadia Nadim,Allie Long,1,24,8,12,6,1,0,36
Jodie Taylor,Ifeoma Onumonu,1,19,5,17,11,0,1,36
Christen Press,Vanessa Gilles,1,34,9,1,1,1,0,35
Christen Press,Verónica Boquete,1,34,9,1,8,1,0,35
Mallory Pugh,Meggie Dougherty Howard,1,31,15,4,6,1,0,35
Mallory Pugh,Sam Staab,1,31,15,4,4,1,0,35
Mallory Pugh,Danielle Colaprico,1,31,15,4,11,1,0,35
Kristen Hamilton,Denise O'Sullivan,1,31,12,4,12,1,0,35
Shea Groom,Erika Tymrak,1,29,18,6,8,1,0,35
Shea Groom,Imani Dorsey,1,29,18,6,4,0,1,35
