slug,id,season
houston-dash-vs-angel-city-fc-2022-09-11,2jz1888v9xio2t6vdrqdz73tg,2022
north-carolina-courage-vs-angel-city-fc-2022-09-14,2fqda3bucjhvylinxzk6fssgk,2022
chicago-red-stars-vs-kansas-city-current-2022-09-14,2k2oo0j87v346mrecwy519kpg,2022
racing-louisville-fc-vs-orlando-pride-2022-09-16,2k6gru9q5ljxe5ggtxwimcv10,2022
washington-spirit-vs-nj-ny-gotham-fc-2022-09-17,2ka4dfg2qjhb0xxihos73uexg,2022
north-carolina-courage-vs-ol-reign-2022-09-17,2kdz40qu2todtgnskriabdg5w,2022
chicago-red-stars-vs-houston-dash-2022-09-17,2khpgz9tb5vs1qxvsgopfp1ck,2022
san-diego-wave-fc-vs-angel-city-fc-2022-09-17,2kme81t21b43fkz6difrueadw,2022
kansas-city-current-vs-portland-thorns-fc-2022-09-18,2kqjfc0cbb0plnqq2q89tukus,2022
nj-ny-gotham-fc-vs-ol-reign-2022-09-21,2l1aaafvjduatdaqvuz773384,2022
orlando-pride-vs-north-carolina-courage-2022-09-21,2l4u31zh94zng84urems6xz4k,2022
portland-thorns-fc-vs-racing-louisville-fc-2022-09-21,2ku7eg3etp1lx929m9ibnuqs4,2022
angel-city-fc-vs-washington-spirit-2022-09-21,2kxqxdg27v6bor34fh7p14u1g,2022
north-carolina-courage-vs-nj-ny-gotham-fc-2022-09-24,2la3loddkw9kh2mx2yj1bsu1g,2022
houston-dash-vs-ol-reign-2022-09-24,2ldshjbm3vzodytw5n3m99y50,2022
portland-thorns-fc-vs-chicago-red-stars-2022-09-25,2ll3fh1659qe1fj2s5h7t6nmc,2022
kansas-city-current-vs-washington-spirit-2022-09-25,2lhgyjs793578fp97arrk2ej8,2022
orlando-pride-vs-san-diego-wave-fc-2022-09-25,2loof7i6fosnrn61sglpomyvo,2022
angel-city-fc-vs-racing-louisville-fc-2022-09-25,2lsdumd0jnw5k3n3l9pk04f84,2022
san-diego-wave-fc-vs-north-carolina-courage-2022-09-30,2lwk3gooir5jfvymfrljvcpas,2022
nj-ny-gotham-fc-vs-portland-thorns-fc-2022-10-01,2m09rqqqkodf90napxzo0gsus,2022
washington-spirit-vs-houston-dash-2022-10-01,2m46iigc2e6gueiupcnkghi50,2022
racing-louisville-fc-vs-kansas-city-current-2022-10-01,2m7o4crs8vh7vves86d6drb4k,2022
ol-reign-vs-orlando-pride-2022-10-01,2mb9k1muetvmflebkojw43lzo,2022
chicago-red-stars-vs-angel-city-fc-2022-10-02,2mewg6e0tftmv7i52i4l18cgk,2022
houston-dash-vs-kansas-city-current-2022-10-16,1il5uqa0vqnzqgef72wyzu68k,2022
san-diego-wave-fc-vs-chicago-red-stars-2022-10-16,1ipnrpi4i3sjh8rzrajkuya6s,2022
portland-thorns-fc-vs-san-diego-wave-fc-2022-10-23,5kbj2mdyasacmjwy74exdev4k,2022
ol-reign-vs-kansas-city-current-2022-10-23,5k7i391zv6geqi9cydexyifpw,2022
portland-thorns-fc-vs-kansas-city-current-2022-10-29,ah2zl0gwj4dop23c7jb885vdg,2022
racing-louisville-fc-vs-kansas-city-current-2022-03-18,55ax37dg198r2tec6b4f5qpsk,2022 Challenge Cup
ol-reign-vs-portland-thorns-fc-2022-03-18,55itl4gu93q9as4w2hlf7jy1g,2022 Challenge Cup
orlando-pride-vs-washington-spirit-2022-03-19,55obyvii7g5osbs1tazemefx0,2022 Challenge Cup
north-carolina-courage-vs-nj-ny-gotham-fc-2022-03-19,55tx1te2zgyagyf1gqqlw03kk,2022 Challenge Cup
angel-city-fc-vs-san-diego-wave-fc-2022-03-19,55zgql3h8z5rfhup1q0gxpnv8,2022 Challenge Cup
houston-dash-vs-chicago-red-stars-2022-03-20,564u15jahnysvm195vic84gt0,2022 Challenge Cup
washington-spirit-vs-nj-ny-gotham-fc-2022-03-25,56dmknryxprsq21kwh5ok5zbo,2022 Challenge Cup
racing-louisville-fc-vs-houston-dash-2022-03-25,569alia12dw7xq7nylmmrl6ac,2022 Challenge Cup
chicago-red-stars-vs-kansas-city-current-2022-03-25,56hynaqii885qjjh5exakttec,2022 Challenge Cup
angel-city-fc-vs-ol-reign-2022-03-26,56m8a479ypozju6br34yb03ro,2022 Challenge Cup
north-carolina-courage-vs-orlando-pride-2022-03-26,56qg6o0bwvszn4yjgs53rx3bo,2022 Challenge Cup
san-diego-wave-fc-vs-portland-thorns-fc-2022-03-26,56unwatb7c6sxr9u0v97b5p90,2022 Challenge Cup
orlando-pride-vs-nj-ny-gotham-fc-2022-03-30,56zake0gnekvskmi1kb4dk5jo,2022 Challenge Cup
washington-spirit-vs-north-carolina-courage-2022-03-30,573icyfonngk74d0u1m25t3x0,2022 Challenge Cup
chicago-red-stars-vs-racing-louisville-fc-2022-03-30,577mmrqons3hnicd886ez4sus,2022 Challenge Cup
houston-dash-vs-kansas-city-current-2022-03-30,57bxriv9352jqh8mto609uj9w,2022 Challenge Cup
portland-thorns-fc-vs-angel-city-fc-2022-03-30,57ht2obf3endeotg55xinahhw,2022 Challenge Cup
kansas-city-current-vs-racing-louisville-fc-2022-04-02,57m0n6ce9gtcn39yc0q8b9zbo,2022 Challenge Cup
san-diego-wave-fc-vs-angel-city-fc-2022-04-02,57qbm3ikf0exlykgfoq6sat5g,2022 Challenge Cup
chicago-red-stars-vs-houston-dash-2022-04-02,57uio4gxv0yj4r2leetpw7h1w,2022 Challenge Cup
portland-thorns-fc-vs-ol-reign-2022-04-02,57z16rrv3iqigmlijw7cut6vo,2022 Challenge Cup
nj-ny-gotham-fc-vs-north-carolina-courage-2022-04-03,588c90se48z3tlbo4pdg12kno,2022 Challenge Cup
washington-spirit-vs-orlando-pride-2022-04-03,583vde7trc3iolld1jke9tp90,2022 Challenge Cup
ol-reign-vs-san-diego-wave-fc-2022-04-14,58cymbfwfz9fi8vszm08i3z10,2022 Challenge Cup
kansas-city-current-vs-houston-dash-2022-04-15,58hb852sxvp8bh5xww9ylecyc,2022 Challenge Cup
orlando-pride-vs-north-carolina-courage-2022-04-16,58lthswvp7ana5o9cb2i5a590,2022 Challenge Cup
racing-louisville-fc-vs-chicago-red-stars-2022-04-16,58qifxzws1xkwy85aoehr2uj8,2022 Challenge Cup
nj-ny-gotham-fc-vs-washington-spirit-2022-04-17,593izc67pfcn576g05o0sr9qs,2022 Challenge Cup
ol-reign-vs-angel-city-fc-2022-04-17,58z8kss0vfjohjsvbjb2tdses,2022 Challenge Cup
portland-thorns-fc-vs-san-diego-wave-fc-2022-04-17,58urj62aytt28ass1dmi4v1n8,2022 Challenge Cup
north-carolina-courage-vs-washington-spirit-2022-04-23,59844hv3p4xet5i9ss0pdg9p0,2022 Challenge Cup
nj-ny-gotham-fc-vs-orlando-pride-2022-04-23,59iymnfty89d0m06kka16jaj8,2022 Challenge Cup
san-diego-wave-fc-vs-ol-reign-2022-04-23,59eg5u2fgqtek7ezi4zsisjys,2022 Challenge Cup
