date,season,team_score,opp_score,result
2018-05-02,2018,0,2,L
2018-05-06,2018,1,1,D
2018-05-12,2018,2,2,D
2018-05-19,2018,0,0,D
2018-05-26,2018,2,5,L
2018-06-02,2018,2,0,W
2018-06-16,2018,1,1,D
2018-06-23,2018,2,0,W
2018-07-01,2018,2,0,W
2018-07-04,2018,1,4,L
2018-07-07,2018,3,1,W
2018-07-14,2018,1,0,W
2018-08-10,2018,1,1,D
2018-08-15,2018,0,0,D
2018-08-18,2018,2,2,D
2018-08-25,2018,3,1,W
2018-09-04,2018,5,0,W
2018-09-08,2018,1,2,L
2019-04-13,2019,1,1,D
2019-04-20,2019,4,4,D
2019-04-28,2019,3,0,W
2019-05-03,2019,0,1,L
2019-05-12,2019,3,1,W
2019-05-19,2019,2,1,W
2019-05-26,2019,0,2,L
2019-06-02,2019,0,3,L
2019-06-23,2019,0,1,L
2019-06-30,2019,3,2,W
2019-07-06,2019,1,2,L
2019-07-13,2019,1,0,W
2019-07-21,2019,2,1,W
2019-07-28,2019,4,0,W
2019-08-03,2019,2,0,W
2019-08-10,2019,1,0,W
2019-08-14,2019,1,2,L
2019-08-21,2019,1,2,L
2019-08-25,2019,0,3,L
2019-09-08,2019,3,0,W
2019-09-11,2019,1,0,W
2019-09-15,2019,3,0,W
2019-09-21,2019,3,1,W
2019-09-28,2019,2,1,W
2021-05-16,2021,0,5,L
2021-05-22,2021,0,0,D
2021-05-26,2021,2,0,W
2021-05-29,2021,1,2,L
2021-06-05,2021,1,0,W
2021-06-19,2021,1,1,D
2021-06-22,2021,0,2,L
2021-06-26,2021,0,3,L
2021-07-02,2021,1,0,W
2021-07-11,2021,2,1,W
2021-07-18,2021,3,1,W
2021-07-25,2021,1,2,L
2021-08-01,2021,3,1,W
2021-08-08,2021,0,2,L
2021-08-15,2021,0,1,L
2021-08-18,2021,1,1,D
2021-08-28,2021,3,0,W
2021-09-04,2021,0,0,D
2021-09-10,2021,1,1,D
2021-09-25,2021,2,1,W
2021-10-10,2021,2,3,L
2021-10-13,2021,1,0,W
2021-10-16,2021,2,1,W
2021-10-29,2021,1,0,W
2022-04-30,2022,2,1,W
2022-05-15,2022,1,2,L
2022-05-22,2022,4,2,W
2022-05-28,2022,2,2,D
2022-06-01,2022,1,1,D
2022-06-04,2022,1,0,W
2022-06-08,2022,0,0,D
2022-06-12,2022,1,0,W
2022-06-18,2022,2,2,D
2022-07-02,2022,3,0,W
2022-07-10,2022,2,2,D
2022-07-16,2022,1,4,L
2022-07-30,2022,0,1,L
2022-08-07,2022,2,0,W
2022-08-14,2022,0,1,L
2022-08-20,2022,0,4,L
2022-08-27,2022,4,0,W
2022-09-09,2022,2,2,D
2022-09-14,2022,4,0,W
2022-09-17,2022,0,1,L
2022-09-25,2022,0,3,L
2022-10-02,2022,2,0,W
2023-05-26,2023,0,0,D
