kickoff,season,home_team,away_team,home_team_score,away_team_score,home_penalty_score,away_penalty_score,is_playoff
2015-07-03 19:00:00,2015,WNY,RGN,1,1,0,0,False
2015-07-03 19:00:00,2015,POR,NJY,2,1,0,0,False
2015-07-03 19:00:00,2015,KC,WAS,3,0,0,0,False
2015-07-09 19:00:00,2015,BOS,KC,2,3,0,0,False
2015-07-11 19:00:00,2015,NJY,POR,1,0,0,0,False
2015-07-11 19:00:00,2015,RGN,WNY,4,2,0,0,False
2015-07-12 19:00:00,2015,HOU,CHI,1,2,0,0,False
2015-07-18 19:00:00,2015,WAS,RGN,3,0,0,0,False
2015-07-18 19:00:00,2015,CHI,BOS,1,1,0,0,False
2015-07-19 19:00:00,2015,WNY,NJY,3,3,0,0,False
2015-07-20 19:00:00,2015,KC,HOU,1,1,0,0,False
2015-07-22 19:00:00,2015,BOS,CHI,1,2,0,0,False
2015-07-22 19:00:00,2015,POR,RGN,0,1,0,0,False
2015-07-25 19:00:00,2015,WAS,CHI,1,1,0,0,False
2015-07-25 19:00:00,2015,NJY,BOS,3,1,0,0,False
2015-07-25 19:00:00,2015,WNY,HOU,0,1,0,0,False
2015-07-26 19:00:00,2015,RGN,POR,3,0,0,0,False
2015-07-29 19:00:00,2015,WNY,POR,0,2,0,0,False
2015-07-29 19:00:00,2015,HOU,KC,3,2,0,0,False
2015-08-01 19:00:00,2015,NJY,WNY,1,2,0,0,False
2015-08-01 19:00:00,2015,WAS,HOU,3,1,0,0,False
2015-08-01 19:00:00,2015,BOS,RGN,1,2,0,0,False
2015-08-01 19:00:00,2015,CHI,KC,2,2,0,0,False
2015-08-05 19:00:00,2015,POR,BOS,5,2,0,0,False
2015-08-07 19:00:00,2015,HOU,NJY,0,2,0,0,False
2015-08-08 19:00:00,2015,BOS,WAS,2,1,0,0,False
2015-08-08 19:00:00,2015,KC,WNY,4,0,0,0,False
2015-08-09 19:00:00,2015,POR,CHI,2,1,0,0,False
2015-08-12 19:00:00,2015,WAS,WNY,1,1,0,0,False
2015-08-12 19:00:00,2015,KC,POR,3,0,0,0,False
2015-08-12 19:00:00,2015,CHI,NJY,1,1,0,0,False
2015-08-12 19:00:00,2015,RGN,HOU,2,1,0,0,False
2015-08-16 19:00:00,2015,CHI,WAS,1,2,0,0,False
2015-08-21 19:00:00,2015,HOU,RGN,0,3,0,0,False
2015-08-22 19:00:00,2015,NJY,POR,1,0,0,0,False
2015-08-22 19:00:00,2015,KC,BOS,3,0,0,0,False
2015-08-23 19:00:00,2015,CHI,WNY,0,0,0,0,False
2015-08-26 19:00:00,2015,RGN,BOS,3,1,0,0,False
2015-08-27 19:00:00,2015,KC,WAS,0,0,0,0,False
2015-08-29 19:00:00,2015,WNY,CHI,0,2,0,0,False
2015-08-29 19:00:00,2015,RGN,NJY,1,1,0,0,False
2015-08-30 19:00:00,2015,HOU,BOS,1,0,0,0,False
2015-08-30 19:00:00,2015,POR,WAS,3,3,0,0,False
2015-09-02 19:00:00,2015,NJY,KC,2,3,0,0,False
2015-09-04 19:00:00,2015,WNY,POR,3,2,0,0,False
2015-09-05 19:00:00,2015,WAS,RGN,1,2,0,0,False
