Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,Thu,2013-05-16,19:30,Thorns,0–1,Sky Blue,11055,Jeld-Wen Field,Josh Wilkens,Match Report,
Regular Season,Sun,2013-05-19,14:00,Thorns,2–0,Spirit,12474,Jeld-Wen Field,Robert Sibiga,Match Report,
Regular Season,Sat,2013-05-18,19:35 (17:35),Kansas City,2–0,Boston,4362,Shawnee Mission District Stadium,Miguel Panduro,Match Report,
Regular Season,Sun,2013-05-19,18:00,Reign,0–3,Sky Blue,1046,Starfire Stadium,Kari Seitz,Match Report,
Regular Season,Fri,2013-05-24,19:05 (16:05),Flash,2–1,Red Stars,3152,Sahlen's Stadium,Robert Sibiga,Match Report,
Regular Season,Sat,2013-05-25,19:00 (16:00),Boston,3–0,Spirit,1246,Dilboy Stadium,Kara Honthumb,Match Report,
Regular Season,Sat,2013-05-25,19:00,Reign,0–1,Thorns,3324,Starfire Stadium,Margaret Domka,Match Report,
Regular Season,Sat,2013-05-25,19:35 (17:35),Kansas City,0–1,Sky Blue,4186,Shawnee Mission District Stadium,John McCloskey,Match Report,
Regular Season,Sat,2013-06-01,14:00,Thorns,0–2,Red Stars,12446,Jeld-Wen Field,Christina Unkel,Match Report,
Regular Season,Sat,2013-06-01,19:00 (16:00),Sky Blue,5–1,Boston,1312,Yurcak Field,Robert Sibiga,Match Report,
Regular Season,Wed,2013-06-05,19:00 (16:00),Boston,2–2,Flash,2124,Dilboy Stadium,John McCloskey,Match Report,
Regular Season,Thu,2013-06-06,19:30,Thorns,4–3,Kansas City,10886,Jeld-Wen Field,Miguel Panduro,Match Report,
Regular Season,Sat,2013-06-08,19:00 (16:00),Sky Blue,0–3,Flash,2056,Yurcak Field,Josh Wilkens,Match Report,
Regular Season,Sun,2013-06-09,15:00 (13:00),Red Stars,1–0,Boston,1129,Village of Lisle-Benedictine University ...,Kari Seitz,Match Report,
Regular Season,Sun,2013-06-09,19:00,Reign,0–1,Kansas City,1377,Starfire Stadium,Kara Honthumb,Match Report,
Regular Season,Thu,2013-06-13,18:30 (16:30),Red Stars,0–2,Kansas City,1141,Village of Lisle-Benedictine University ...,Josh Wilkens,Match Report,
Regular Season,Sat,2013-06-15,19:00 (16:00),Spirit,0–2,Flash,4630,Maureen Hendricks Field at Maryland Socc...,Boris Senic,Match Report,
Regular Season,Sun,2013-06-16,14:00,Thorns,2–0,Reign,13802,Jeld-Wen Field,Robert Sibiga,Match Report,
Regular Season,Sun,2013-06-16,15:10 (13:10),Kansas City,1–3,Red Stars,3421,Shawnee Mission District Stadium,Juliana Duncan,Match Report,
Regular Season,Sun,2013-06-16,18:30 (15:30),Boston,2–3,Sky Blue,2687,Dilboy Stadium,Christina Unkel,Match Report,
Regular Season,Wed,2013-06-19,18:30 (16:30),Red Stars,2–2,Flash,790,Village of Lisle-Benedictine University ...,Kara Honthumb,Match Report,
Regular Season,Sat,2013-06-22,19:00 (16:00),Sky Blue,0–0,Thorns,3002,Yurcak Field,Kari Seitz,Match Report,
Regular Season,Sun,2013-06-23,15:10 (13:10),Kansas City,2–0,Spirit,3057,Shawnee Mission District Stadium,Katja Koroleva,Match Report,
Regular Season,Sun,2013-06-23,16:05 (13:05),Flash,1–1,Reign,6347,Sahlen's Stadium,Miguel Panduro,Match Report,
Regular Season,Wed,2013-06-26,19:00 (16:00),Boston,1–2,Reign,2012,Dilboy Stadium,John McCloskey,Match Report,
Regular Season,Wed,2013-06-26,19:00 (16:00),Sky Blue,2–2,Kansas City,1126,Yurcak Field,Robert Sibiga,Match Report,
Regular Season,Fri,2013-06-28,19:05 (16:05),Flash,4–0,Spirit,3364,Sahlen's Stadium,Margaret Domka,Match Report,
Regular Season,Sun,2013-06-30,15:10 (13:10),Kansas City,2–0,Thorns,4774,Shawnee Mission District Stadium,Christina Unkel,Match Report,
Regular Season,Sun,2013-06-30,18:30 (15:30),Boston,3–2,Sky Blue,1876,Dilboy Stadium,Katja Koroleva,Match Report,
Regular Season,Sat,2013-06-29,20:00,Reign,3–1,Red Stars,2318,Starfire Stadium,Josh Wilkens,Match Report,
Regular Season,Wed,2013-07-03,19:30 (16:30),Spirit,1–1,Kansas City,2467,Maureen Hendricks Field at Maryland Socc...,Kara Honthumb,Match Report,
Regular Season,Thu,2013-07-04,13:00 (11:00),Red Stars,1–0,Flash,2064,Village of Lisle-Benedictine University ...,Juliana Duncan,Match Report,
Regular Season,Wed,2013-07-03,19:00,Reign,1–1,Boston,1430,Starfire Stadium,Miguel Panduro,Match Report,
Regular Season,Sat,2013-07-06,19:00 (16:00),Sky Blue,1–0,Spirit,1322,Yurcak Field,John McCloskey,Match Report,
Regular Season,Sun,2013-07-07,15:10 (13:10),Kansas City,0–0,Flash,5031,Shawnee Mission District Stadium,Elvis Mahmutovic,Match Report,
Regular Season,Sat,2013-07-06,19:30,Thorns,0–2,Boston,12436,Jeld-Wen Field,Robert Sibiga,Match Report,
Regular Season,Wed,2013-07-10,19:30 (16:30),Spirit,0–2,Red Stars,2593,Maureen Hendricks Field at Maryland Socc...,Miguel Panduro,Match Report,
Regular Season,Thu,2013-07-11,19:00,Reign,3–2,Flash,2514,Starfire Stadium,Robert Sibiga,Match Report,
Regular Season,Sat,2013-07-13,19:00 (16:00),Sky Blue,0–0,Boston,1279,Yurcak Field,Margaret Domka,Match Report,
Regular Season,Sun,2013-07-14,14:00,Thorns,1–1,Flash,13021,Jeld-Wen Field,Ted Unkel,Match Report,
Regular Season,Sun,2013-07-14,15:00 (13:00),Red Stars,3–3,Kansas City,1549,Village of Lisle-Benedictine University ...,Josh Wilkens,Match Report,
Regular Season,Sun,2013-07-14,17:30,Reign,2–1,Spirit,3855,Starfire Stadium,Katja Koroleva,Match Report,
Regular Season,Sat,2013-07-20,18:00 (16:00),Red Stars,1–0,Spirit,1241,Village of Lisle-Benedictine University ...,Margaret Domka,Match Report,
Regular Season,Sun,2013-07-21,13:30 (10:30),Flash,3–0,Sky Blue,4664,Sahlen's Stadium,Kara Honthumb,Match Report,
Regular Season,Sun,2013-07-21,16:00 (13:00),Boston,1–2,Thorns,2978,Dilboy Stadium,Robert Sibiga,Match Report,
Regular Season,Sat,2013-07-20,19:35 (17:35),Kansas City,2–0,Reign,5271,Shawnee Mission District Stadium,Boris Senic,Match Report,
Regular Season,Wed,2013-07-24,19:35 (17:35),Kansas City,3–0,Boston,5024,Shawnee Mission District Stadium,Margaret Domka,Match Report,
Regular Season,Thu,2013-07-25,19:00,Reign,4–1,Red Stars,2017,Starfire Stadium,Robert Sibiga,Match Report,
Regular Season,Sat,2013-07-27,19:00 (16:00),Spirit,2–5,Boston,2607,Maureen Hendricks Field at Maryland Socc...,Kara Honthumb,Match Report,
Regular Season,Sun,2013-07-28,16:00,Thorns,3–3,Red Stars,12534,Jeld-Wen Field,Kari Seitz,Match Report,
Regular Season,Sun,2013-07-28,18:00 (15:00),Sky Blue,0–1,Kansas City,1302,Yurcak Field,Christina Unkel,Match Report,
Regular Season,Wed,2013-07-31,19:05 (16:05),Flash,3–0,Spirit,3967,Sahlen's Stadium,Miguel Panduro,Match Report,
Regular Season,Wed,2013-07-31,19:30,Thorns,3–1,Sky Blue,13769,Jeld-Wen Field,Margaret Domka,Match Report,
Regular Season,Sat,2013-08-03,18:00 (15:00),Boston,2–2,Flash,2899,Dilboy Stadium,Christina Unkel,Match Report,
Regular Season,Sat,2013-08-03,18:00 (16:00),Red Stars,3–1,Reign,3400,Village of Lisle-Benedictine University ...,Kara Honthumb,Match Report,
Regular Season,Sat,2013-08-03,19:00 (16:00),Sky Blue,1–0,Spirit,2172,Yurcak Field,Elvis Mahmutovic,Match Report,
Regular Season,Sun,2013-08-04,17:30,Thorns,2–3,Kansas City,17619,Jeld-Wen Field,John McCloskey,Match Report,
Regular Season,Wed,2013-08-07,19:00 (16:00),Boston,2–1,Thorns,3012,Dilboy Stadium,Elvis Mahmutovic,Match Report,
Regular Season,Wed,2013-08-07,19:05 (16:05),Flash,1–0,Reign,4993,Sahlen's Stadium,Robert Sibiga,Match Report,
Regular Season,Wed,2013-08-07,19:30 (16:30),Spirit,1–0,Red Stars,2081,Maureen Hendricks Field at Maryland Socc...,Dimitar Chavdarov,Match Report,
Regular Season,Sat,2013-08-10,18:00 (16:00),Red Stars,3–3,Sky Blue,2064,Village of Lisle-Benedictine University ...,Kristen Salazar,Match Report,
Regular Season,Sat,2013-08-10,18:00 (15:00),Boston,1–0,Kansas City,2116,Dilboy Stadium,Kara Honthumb,Match Report,
Regular Season,Sat,2013-08-10,19:00 (16:00),Spirit,1–0,Reign,4549,Maureen Hendricks Field at Maryland Socc...,Kari Seitz,Match Report,
Regular Season,Sat,2013-08-10,19:35 (16:35),Flash,0–0,Thorns,7606,Sahlen's Stadium,Margaret Domka,Match Report,
Regular Season,Sun,2013-08-18,15:10 (13:10),Kansas City,1–2,Red Stars,4910,Shawnee Mission District Stadium,Elvis Mahmutovic,Match Report,
Regular Season,Sun,2013-08-18,17:00 (14:00),Spirit,1–1,Sky Blue,4241,Maureen Hendricks Field at Maryland Socc...,Kara Honthumb,Match Report,
Regular Season,Sat,2013-08-17,20:00 (17:00),Flash,2–1,Boston,6311,Sahlen's Stadium,Dimitar Chavdarov,Match Report,
Regular Season,Sat,2013-08-17,20:00,Reign,1–2,Thorns,3855,Starfire Stadium,Christina Unkel,Match Report,
Semi-finals,Sat,2013-08-24,13:00 (11:00),Kansas City,2–3,Thorns,4016,Shawnee Mission District Stadium,Christina Unkel,Match Report,Required Extra Time
Semi-finals,Sat,2013-08-24,20:00 (17:00),Flash,2–0,Sky Blue,7316,Sahlen's Stadium,Katja Koroleva,Match Report,
Final,Sat,2013-08-31,20:00 (17:00),Flash,0–2,Thorns,9129,Sahlen's Stadium,Kari Seitz,Match Report,
