date,season,home,away,home_score,away_score
2015-08-01,2015,NJY,WNY,1,2
2015-08-05,2015,POR,BOS,5,2
2015-08-07,2015,HOU,NJY,0,2
2015-08-08,2015,BOS,WAS,2,1
2015-08-08,2015,KC,WNY,4,0
2015-08-09,2015,POR,CHI,2,1
2015-08-12,2015,RGN,HOU,2,1
2015-08-12,2015,CHI,NJY,1,1
2015-08-12,2015,KC,POR,3,0
2015-08-12,2015,WAS,WNY,1,1
2015-08-16,2015,CHI,WAS,1,2
2015-08-21,2015,HOU,RGN,0,3
2015-08-22,2015,NJY,POR,1,0
2015-08-22,2015,KC,BOS,3,0
2015-08-23,2015,CHI,WNY,0,0
2015-08-26,2015,RGN,BOS,3,1
2015-08-27,2015,KC,WAS,0,0
2015-08-29,2015,RGN,NJY,1,1
2015-08-29,2015,WNY,CHI,0,2
2015-08-30,2015,HOU,BOS,1,0
2015-08-30,2015,POR,WAS,3,3
2015-09-02,2015,NJY,KC,2,3
2015-09-04,2015,WNY,POR,3,2
2015-09-05,2015,WAS,RGN,1,2
2015-09-06,2015,CHI,HOU,1,1
2016-04-16,2016,WAS,BOS,1,0
2016-04-16,2016,KC,WNY,0,1
2016-04-16,2016,HOU,CHI,3,1
2016-04-17,2016,RGN,NJY,1,2
2016-04-17,2016,POR,ORL,2,1
2016-04-23,2016,CHI,WNY,1,0
2016-04-23,2016,ORL,HOU,3,1
2016-04-23,2016,KC,POR,1,1
2016-04-24,2016,NJY,WAS,1,2
2016-04-24,2016,BOS,RGN,0,3
2016-04-29,2016,WNY,WAS,0,3
2016-04-29,2016,HOU,NJY,0,0
2016-05-01,2016,BOS,POR,0,1
2016-05-01,2016,CHI,ORL,1,0
2016-05-01,2016,RGN,KC,1,0
2016-05-07,2016,NJY,WNY,1,2
2016-05-07,2016,WAS,POR,0,0
2016-05-07,2016,BOS,CHI,0,1
2016-05-07,2016,KC,HOU,1,2
2016-05-08,2016,ORL,RGN,2,0
2016-05-13,2016,NJY,BOS,1,0
2016-05-13,2016,KC,CHI,0,0
2016-05-14,2016,WAS,HOU,1,0
2016-05-14,2016,ORL,WNY,1,0
2016-05-14,2016,RGN,POR,1,1
2016-05-20,2016,HOU,ORL,0,1
2016-05-21,2016,WNY,NJY,5,2
2016-05-21,2016,POR,WAS,4,1
2016-05-22,2016,BOS,KC,1,0
2016-05-22,2016,RGN,CHI,1,2
2016-05-27,2016,WNY,BOS,4,0
2016-05-28,2016,KC,ORL,2,0
2016-05-29,2016,CHI,NJY,1,1
2016-05-29,2016,POR,RGN,0,0
2016-06-10,2016,BOS,WAS,1,1
2016-06-11,2016,NJY,KC,1,1
2016-06-11,2016,WNY,ORL,1,0
2016-06-12,2016,CHI,POR,1,1
2016-06-12,2016,RGN,HOU,1,0
2016-06-17,2016,WNY,POR,0,2
2016-06-18,2016,WAS,ORL,2,0
2016-06-18,2016,CHI,BOS,3,0
2016-06-19,2016,NJY,RGN,0,0
2016-06-19,2016,HOU,KC,0,1
2016-06-22,2016,POR,CHI,2,0
2016-06-23,2016,ORL,HOU,1,0
2016-06-24,2016,WNY,BOS,7,1
2016-06-25,2016,KC,RGN,0,0
2016-06-25,2016,WAS,NJY,1,2
2016-06-26,2016,ORL,POR,1,2
2016-07-01,2016,WNY,CHI,2,0
2016-07-02,2016,WAS,KC,2,0
2016-07-02,2016,RGN,BOS,2,0
2016-07-02,2016,POR,NJY,2,1
2016-07-09,2016,WNY,RGN,3,2
2016-07-09,2016,NJY,HOU,1,0
2016-07-09,2016,WAS,CHI,2,0
2016-07-09,2016,POR,KC,1,2
2016-07-10,2016,ORL,BOS,2,1
2016-07-16,2016,KC,WAS,2,3
2016-07-16,2016,ORL,CHI,0,1
