date,time,home,away,is_challenge_cup
2023-09-01,19:00:00,KC,LA,False
2023-09-02,19:00:00,NC,NJY,False
2023-09-02,19:30:00,LOU,POR,False
2023-09-03,17:00:00,WAS,CHI,False
2023-09-03,15:00:00,RGN,ORL,False
2023-09-03,17:00:00,SD,HOU,False
2023-09-15,19:30:00,LOU,HOU,False
2023-09-16,19:30:00,NJY,WAS,False
2023-09-16,19:00:00,SD,KC,False
2023-09-16,19:30:00,POR,RGN,False
2023-09-17,17:00:00,CHI,LA,False
2023-09-17,19:00:00,ORL,NC,False
2023-09-21,19:00:00,LA,ORL,False
2023-09-30,19:00:00,WAS,KC,False
2023-09-30,19:00:00,CHI,LOU,False
2023-09-30,19:30:00,POR,SD,False
2023-10-01,17:30:00,NJY,HOU,False
2023-10-01,17:00:00,RGN,NC,False
2023-10-06,19:30:00,LOU,ORL,False
2023-10-06,19:00:00,RGN,WAS,False
2023-10-07,14:00:00,POR,NJY,False
2023-10-07,19:00:00,NC,SD,False
2023-10-07,19:00:00,KC,CHI,False
2023-10-08,18:00:00,HOU,LA,False
2023-10-15,17:00:00,WAS,NC,False
2023-10-15,17:00:00,NJY,KC,False
2023-10-15,17:00:00,ORL,HOU,False
2023-10-15,16:00:00,CHI,RGN,False
2023-10-15,14:00:00,LA,POR,False
2023-10-15,14:00:00,SD,LOU,False
