RGN-WAS,LOU-ORL,POR-NJY,NC-SD,KCC-CHI,HOU-LA,clinched,eliminated
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(1, 0)","(0, 1)","[SD,NJY,POR]","[KCC,CHI]"
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(1, 0)","[SD,NJY,POR,RGN]","[LA,CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 0)","[SD,NJY,POR,RGN]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 0)","(0, 1)","[SD,NJY,POR]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)","(1, 0)","[SD,NJY,POR,RGN]","[LA,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 0)","[SD,NJY,POR,RGN]",[KCC]
"(1, 0)","(1, 0)","(0, 1)","(0, 0)","(0, 1)","(0, 1)","[SD,NJY,POR]",[KCC]
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)","(1, 0)","[SD,NJY,POR,RGN]","[LA,KCC,CHI]"
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 0)","[SD,NJY,POR,RGN]","[KCC,CHI]"
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(1, 0)","(0, 1)","[SD,NJY,POR]","[KCC,CHI]"
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)","(1, 0)","[SD,NJY,POR,RGN]","[LA,CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 0)","[SD,NJY,POR,RGN]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 0)","(0, 1)","[SD,NJY,POR]","[CHI,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)","(1, 0)","[SD,NJY,POR,RGN]","[LA,KCC]"
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 0)","[SD,NJY,POR,RGN]",[KCC]
"(1, 0)","(1, 0)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","[SD,NJY,POR]",[KCC]
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)","(1, 0)","[POR,SD]","[LOU,LA,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 0)","[POR,SD]","[LA,LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(1, 0)","(0, 1)","[POR,SD]","[LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)","(1, 0)","[POR,SD]","[LOU,LA,CHI,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 0)","[POR,SD]","[LA,LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 0)","(0, 1)","[POR,SD]","[LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)","(1, 0)","[POR,SD]","[LOU,LA,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 0)","[POR,SD]","[LA,LOU,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(1, 0)","(0, 1)","(0, 1)","[POR,SD]","[LOU,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)","(1, 0)","[POR,SD,RGN]","[LOU,LA,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 0)","[POR,SD,RGN]","[LA,LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(1, 0)","(0, 1)","[POR,SD]","[LOU,KCC,CHI]"
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)","(1, 0)","[POR,SD,RGN]","[LOU,LA,CHI,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 0)","[POR,SD,RGN]","[LA,LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 0)","(0, 1)","[POR,SD]","[LOU,CHI,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","(1, 0)","[POR,SD,RGN]","[LOU,LA,KCC]"
"(1, 0)","(0, 0)","(1, 0)","(0, 0)","(0, 1)","(0, 0)","[POR,SD,RGN]","[LA,LOU,KCC]"
