p1,p2,combos,p1g,p1a,p2g,p2a,p1g_p2a,p2g_p1a,goals
Michelle Alozie,Shea Groom,1,2,0,1,4,1,0,3
Tatumn Milazzo,Vanessa DiBernardo,1,2,1,1,3,0,1,3
Tatumn Milazzo,Danielle Colaprico,1,2,1,1,3,1,0,3
Taylor Smith,Nahomi Kawasumi,1,2,2,1,2,1,0,3
Kristie Mewis,Nahomi Kawasumi,1,2,3,1,2,1,0,3
Christen Press,Vanessa Gilles,1,2,1,1,1,1,0,3
Darian Jenkins,Kylie Strom,1,2,1,1,0,0,1,3
Ali Riley,Jun Endo,1,2,2,1,3,1,0,3
Amber Brooks,Sam Staab,1,2,0,1,1,1,0,3
Ava Cook,Rachel Hill,1,2,3,1,0,0,1,3
Brittany Ratcliffe,Denise O'Sullivan,1,2,0,1,2,1,0,3
Emina Ekic,Emily Fox,1,2,0,1,1,1,0,3
Mikayla Cluff,Jordyn Listro,1,2,0,0,1,1,0,2
Alex Chidiac,Jaelin Howell,1,2,0,0,2,1,0,2
Maria Sánchez,Natalie Ann Jacobs,1,2,4,0,3,1,0,2
Marisa Viggiano,Ryan Gareis,1,2,2,0,2,1,0,2
Tziarra King,Angelina,1,2,1,0,1,1,0,2
Yazmeen Ryan,Madison Pogarch,1,2,5,0,2,1,0,2
Kristen McNabb,Katie Johnson,1,2,0,0,3,1,0,2
Simone Charley,Jasmyne Spencer,1,2,0,0,1,1,0,2
Kirsten Davis,Jaelin Howell,1,2,1,0,2,1,0,2
Celia,Erika Tymrak,1,2,0,0,2,1,0,2
Christen Press,Megan Reid,1,2,1,0,1,1,0,2
Claire Marie Annie Lavogez,Elizabeth Ball,1,2,1,0,1,1,0,2
Darian Jenkins,Erika Tymrak,1,2,1,0,2,1,0,2
Brittany Ratcliffe,Merritt Mathias,1,2,0,0,3,1,0,2
Jordyn Huitema,Quinn,1,2,2,0,1,1,0,2
Gunny Jónsdóttir,Courtney Petersen,1,2,0,0,2,1,0,2
Meredith Speck,Jaelene Daniels,1,1,2,1,1,1,0,2
Natalia Kuikka,Samantha Grace Coffey,1,1,2,1,2,0,1,2
Sofia Huerta,Tobin Heath,1,1,4,1,0,0,1,2
Carson Pickett,Meredith Speck,1,1,6,1,2,1,0,2
Carson Pickett,Abby Erceg,1,1,6,1,0,0,1,2
Andi Sullivan,Sam Staab,1,1,1,1,1,0,1,2
Jun Endo,Vanessa Gilles,1,1,3,1,1,0,1,2
Leah Pruitt,Abi Kim,1,1,1,0,1,1,0,1
Amy Turner,Courtney Petersen,1,1,0,0,2,1,0,1
Belle Briede,Marleen Schimmer,1,1,0,0,1,1,0,1
Brianna Pinto,Ryan Williams,1,1,2,0,3,1,0,1
Jodie Taylor,Katie Johnson,1,1,0,0,3,1,0,1
Joelle Anderson,Cali Jean Farquharson,1,1,0,0,1,1,0,1
Kaleigh Riehl,Kelsey Turnbow,1,1,0,0,2,1,0,1
Hannah Betfort,Madison Pogarch,1,1,0,0,2,1,0,1
