p1,p2,combos,p1g,p1a,p2g,p2a,p1g_p2a,p2g_p1a,goals
Tyler Lussi,Kiki Pickett,1,6,0,0,1,1,0,6
Bethany Balcer,Lauren Barnes,1,6,1,0,1,1,0,6
Cece Kizer,Alex Loera,1,6,2,0,4,1,0,6
Cece Kizer,Hailie Mace,1,6,2,0,2,1,0,6
Cece Kizer,Izzy Rodriguez,1,6,2,0,2,1,0,6
Adriana Leal da Silva,Erika Tymrak,1,6,4,0,3,1,0,6
Adriana Leal da Silva,Marta Vieira da Silva Veiga,1,6,4,0,4,1,0,6
Cece Kizer,Vanessa DiBernardo,1,6,2,0,2,1,0,6
Hina Sugita,Sam Coffey,1,6,3,0,8,1,0,6
Jaedyn Shaw,Christen Westphal,1,6,3,0,4,1,0,6
Ashley Sanchez,Ouleymata Sarr,1,5,1,1,1,1,0,6
Jordyn Huitema,Sofia Huerta,1,5,0,1,2,1,0,6
Megan Rapinoe,Elyse Bennett,1,4,5,2,2,0,1,6
Veronica Latsko,Elyse Bennett,1,4,2,2,2,1,0,6
Alyssa Thompson,Sydney Leroux,1,4,2,2,1,0,1,6
Claire Emslie,Katie Johnson,1,3,5,3,1,0,1,6
Claire Emslie,Mary Alice Vignola,1,3,5,3,0,0,1,6
Trinity Rodman,Dorian Bailey,1,5,2,0,2,1,0,5
Trinity Rodman,Gabrielle Carle,1,5,2,0,1,1,0,5
Jordyn Huitema,Alana Cook,1,5,0,0,2,1,0,5
Crystal Dunn,Meghan Klingenberg,1,5,2,0,3,1,0,5
Crystal Dunn,Sam Coffey,1,5,2,0,8,1,0,5
Megan Rapinoe,Quinn,1,4,5,1,2,1,0,5
Savannah McCaskill,Scarlett Camberos,1,4,3,1,3,1,0,5
Ella Stevens,Tatumn Milazzo,1,4,1,1,1,1,0,5
Makenzy Doniak,Kyra Taylor Carusa,1,3,2,2,0,0,1,5
Mary Alice Vignola,Sydney Leroux,1,3,0,2,1,1,0,5
Isabel Rodriguez,Mimmi Larsson,1,3,0,2,2,1,0,5
Midge Purce,Delanie Sheehan,1,4,2,0,2,1,0,4
Michelle Alozie,Nichelle Prince,1,4,1,0,2,1,0,4
Michelle Alozie,María Sánchez,1,4,1,0,4,1,0,4
Kirsten Davis,Madalyn Pokorny,1,4,1,0,1,1,0,4
Megan Rapinoe,Jess Fishlock,1,4,5,0,1,1,0,4
Yuki Ogimi Nagasato,Casey Krueger,1,4,0,0,2,1,0,4
Savannah McCaskill,M. A. Vignola,1,4,3,0,1,1,0,4
Bianca St-Georges,Ally Schlegel,1,4,1,0,1,1,0,4
Bianca St-Georges,Casey Krueger,1,4,1,0,2,1,0,4
Bianca St-Georges,Julia Bianchi,1,4,1,0,5,1,0,4
Alyssa Thompson,Dani Weatherholt,1,4,2,0,1,1,0,4
Jenna Nighswonger,Kristie Mewis,1,4,0,0,1,1,0,4
Jessica Fishlock,Alana Cook,1,4,0,0,2,1,0,4
Jessica Fishlock,Emily Sonnett,1,4,0,0,1,1,0,4
Jessica Fishlock,Rose Lavelle,1,4,0,0,1,1,0,4
Ella Stevens,Julia Bianchi,1,4,1,0,5,1,0,4
Yuki Ogimi Nagasato,Penelope Hocking,1,4,0,0,1,1,0,4
Mary Alice Vignola,Scarlett Camberos,1,3,0,1,3,1,0,4
Penelope Elizabeth Hocking,Cheyna Matthews,1,3,0,1,1,1,0,4
Paige Metayer,Sam Staab,1,3,1,1,1,1,0,4
Jun Endo,Madison Hammond,1,3,2,1,1,1,0,4
Claire Emslie,Scarlett Camberos,1,3,5,1,3,0,1,4
Olivia Moultrie,Hannah Betfort,1,2,3,2,0,0,1,4
Olivia Moultrie,Natalia Kuikka,1,2,3,2,2,1,0,4
Sofia Jakobsson,Sierra Enge,1,2,1,2,0,0,1,4
Alexa Spaanstra,Lo’eau LaBonta,1,2,1,2,0,0,1,4
Paige Metayer,Lena Silano,1,3,1,0,1,1,0,3
Paige Monaghan,Kayla Fischer,1,3,0,0,1,1,0,3
Ava Cook,Yuki Nagasato,1,3,0,0,2,1,0,3
Ava Cook,Julia Bianchi,1,3,0,0,5,1,0,3
Isabel Rodriguez,Débora Cristiane de Oliveira,1,3,0,0,2,1,0,3
Mikayla Cluff,Mariana Larroquette,1,2,1,1,0,0,1,3
Mille Gejl Jensen,Narumi Miura,1,2,0,1,3,1,0,3
Tara McKeown,Ouleymata Sarr,1,2,1,1,1,0,1,3
Olivia Moultrie,Rocky Rodriguez,1,2,3,1,0,0,1,3
Bruninha,Taylor Smith,1,2,0,1,1,1,0,3
Mille Gejl Jensen,Denise O'Sullivan,1,2,0,0,1,1,0,2
Mimmi Larsson,Alex Loera,1,2,2,0,4,1,0,2
Kristen Hamilton,Débora Cristiane de Oliveira,1,2,0,0,2,1,0,2
Kristen Hamilton,Kate Del Fava,1,2,0,0,1,1,0,2
Tara McKeown,Dorian Bailey,1,2,1,0,2,1,0,2
Thembi Kgatlana,Rebecca Holloway,1,2,1,0,1,1,0,2
Natalia Kuikka,Sam Coffey,1,2,2,0,8,1,0,2
Sofia Jakobsson,Christen Westphal,1,2,1,0,4,1,0,2
Julie Doyle,Erika Tymrak,1,2,3,0,3,1,0,2
Alexa Spaanstra,Alex Loera,1,2,1,0,4,1,0,2
Alexa Spaanstra,Izzy Rodriguez,1,2,1,0,2,1,0,2
Allison Schlegel,Julia Bianchi,1,2,0,0,5,1,0,2
Amirah Ali,Melanie Barcenas,1,2,0,0,1,1,0,2
Haley McCutcheon,Viviana Villacorta,1,2,0,0,1,1,0,2
Hannah Betfort,Meghan Klingenberg,1,2,0,0,3,1,0,2
Katie Stengel,Ifeoma Onumonu,1,2,0,0,1,1,0,2
Elyse Bennett,Nikki Stanton,1,2,2,0,2,1,0,2
Narumi Miura,Denise Rebecca O'Sullivan,1,1,3,1,0,0,1,2
Clarisse Le Bihan,Jasmyne Spencer,1,1,4,1,0,0,1,2
Clarisse Le Bihan,Julie Ertz,1,1,4,1,0,0,1,2
Clarisse Le Bihan,Madison Hammond,1,1,4,1,1,0,1,2
Clarisse Le Bihan,Paige Nielsen,1,1,4,1,0,0,1,2
Clarisse Le Bihan,Scarlett Camberos,1,1,4,1,3,1,0,2
Meredith Speck,Olivia Wingate,1,1,0,0,2,1,0,1
Manaka Matsukubo,Emily Fox,1,1,1,0,2,1,0,1
Kylie Strom,Marta Vieira da Silva Veiga,1,1,1,0,4,1,0,1
Kerry Abello,Marta Vieira da Silva Veiga,1,1,0,0,4,1,0,1
Tatumn Milazzo,Julia Bianchi,1,1,1,0,5,1,0,1
Taylor Kornieck,Kelsey Turnbow,1,1,0,0,1,1,0,1
Taylor Smith,Delanie Sheehan,1,1,1,0,2,1,0,1
Tess Boade,Kerolin Nicoli Israel Ferraz,1,1,2,0,3,1,0,1
Victoria Pickett,Olivia Wingate,1,1,0,0,2,1,0,1
Yazmeen Ryan,Kristen Edmonds,1,1,1,0,1,1,0,1
Narumi Miura,Kerolin Nicoli Israel Ferraz,1,1,3,0,3,1,0,1
Quinn,Nikki Stanton,1,1,2,0,2,1,0,1
Reyna Reyes,Sam Coffey,1,1,0,0,8,1,0,1
Rikke Madsen,Ryan Williams,1,1,1,0,2,1,0,1
Sam Staab,Inès Jaurena,1,1,1,0,1,1,0,1
Kelli Hubly,Sam Coffey,1,1,0,0,8,1,0,1
Belle Briede,Christen Westphal,1,1,0,0,4,1,0,1
Brianna Pinto,Frankie Tagliaferri,1,1,0,0,1,1,0,1
Cari Roccaro,Sarah Griffith,1,1,0,0,1,1,0,1
Kayla Lynne Sharples,Yuki Nagasato,1,1,0,0,2,1,0,1
Ally Prisock,Caprice Dydasco,1,1,0,0,1,1,0,1
Andressa,Nichelle Prince,1,1,0,0,2,1,0,1
Jordan Elisabeth Baggett,Lauren Milliet,1,1,0,0,1,1,0,1
Haley Hopkins,Kerolin Nicoli Israel Ferraz,1,1,1,0,3,1,0,1
Ebony Salmon,María Sánchez,1,1,2,0,4,1,0,1
