date,scorer,assist
2018-08-25T20:30:00,Veronica Latsko,Sofia Huerta
2018-08-25T20:30:00,Imani Dorsey,
2018-08-25T20:30:00,Sofia Huerta,Kealia Ohai Watt
2018-08-25T20:30:00,Rachel Daly,
2018-08-25T20:30:00,Haley Hanson,Kyah Simon
2018-08-25T20:30:00,Thembi Kgatlana,Haley Hanson
2018-09-02T10:00:00,Arielle Ship,
2018-09-02T10:00:00,Sarah Woldmoe,Madison Tiernan
2018-09-04T19:30:00,Alyssa Mautz,Arin Wright
2018-09-04T19:30:00,Alyssa Mautz,Arin Wright
2018-09-04T19:30:00,Sam Kerr,Brooke Elby
2018-09-04T19:30:00,Rosie White,Sam Kerr
2018-09-04T19:30:00,Jennifer Vasconcelos,Rosie White
2018-09-07T22:00:00,Jessica Fishlock,Elizabeth Addo
2018-09-07T22:00:00,Lindsey Horan,
2018-09-07T22:00:00,Tobin Heath,
2018-09-07T22:00:00,Lindsey Horan,Tobin Heath
2018-09-08T12:00:00,Carli Lloyd,Shea Groom
2018-09-08T15:30:00,Sam Kerr,Arin Wright
2018-09-08T15:30:00,Amy Rodriguez,Kate Bowen
2018-09-08T15:30:00,Katie Stengel,Taylor Lytle
2018-09-08T19:30:00,Jessica McDonald,Abby Erceg
2018-09-08T19:30:00,Crystal Dunn,
2018-09-08T19:30:00,Lynn Williams,Jessica McDonald
2018-09-08T19:30:00,Lynn Williams,Jessica McDonald
2018-09-08T19:30:00,Kristen Hamilton,
2018-09-15T15:00:00,Jasmyne Spencer,
2018-09-15T15:00:00,Tobin Heath,Lindsey Horan
2018-09-15T15:00:00,Lindsey Horan,Christine Sinclair
2018-09-18T21:00:00,Jessica McDonald,Crystal Dunn
2018-09-18T21:00:00,Sam Mewis,Crystal Dunn
2018-09-22T16:30:00,Debinha,
2018-09-22T16:30:00,Jessica McDonald,Jaelene Daniels
2018-09-22T16:30:00,Jessica McDonald,Merritt Mathias
