date,team,subs,minutes,result,goal_differential,total_minutes,sub_goals,sub_assists
2023-04-15,NJY,5,"[61, 69, 69, 84, 84]",W,2,367,1,1
2023-04-15,CHI,5,"[82, 82, 87, 87, 90]",W,2,428,0,0
2023-04-15,KCC,5,"[63, 79, 79, 79, 87]",L,-2,387,1,1
2023-04-15,LA,3,"[57, 57, 58]",D,0,172,0,0
2023-04-15,LOU,4,"[74, 79, 79, 87]",D,0,319,0,0
2023-04-15,RGN,3,"[73, 79, 87]",W,1,239,0,0
2023-04-15,SD,4,"[64, 64, 79, 87]",L,-1,294,0,0
2023-04-22,RGN,5,"[21, 67, 78, 89, 89]",W,3,344,0,0
2023-04-22,CHI,5,"[30, 60, 82, 82, 83]",L,-3,337,1,0
2023-04-22,WAS,4,"[16, 71, 92, 92]",D,0,271,0,0
2023-04-22,HOU,3,"[46, 79, 95]",D,0,220,0,0
2023-04-22,NJY,4,"[61, 79, 86, 86]",W,1,312,0,0
2023-04-22,NC,4,"[70, 70, 88, 88]",L,-1,316,0,0
2023-04-22,POR,5,"[46, 58, 58, 73, 73]",W,2,308,0,0
2023-04-22,LOU,5,"[5, 56, 56, 84, 84]",L,-2,285,0,0
2023-04-23,KCC,5,"[63, 75, 90, 90, 90]",W,2,408,0,0
2023-04-23,ORL,5,"[60, 69, 84, 84, 84]",L,-2,381,0,0
2023-04-23,LA,5,"[73, 73, 81, 87, 87]",L,-2,401,0,0
2023-04-23,SD,4,"[46, 62, 62, 89]",W,2,259,2,0
2023-04-28,HOU,1,[46],L,-1,46,0,0
2023-04-28,NC,0,[],W,1,0,0,0
2023-04-29,LOU,3,"[76, 84, 91]",D,0,251,0,0
2023-04-29,RGN,3,"[46, 70, 82]",D,0,198,0,0
2023-04-29,CHI,4,"[75, 75, 80, 89]",D,0,319,0,0
2023-04-29,WAS,2,"[72, 72]",D,0,144,0,0
2023-04-29,SD,3,"[62, 72, 80]",L,-2,214,0,0
2023-04-29,ORL,2,"[73, 79]",W,2,152,0,0
2023-04-29,POR,5,"[56, 56, 56, 76, 86]",D,0,330,0,1
2023-04-29,LA,4,"[58, 76, 76, 84]",D,0,294,0,1
2023-04-30,KCC,3,"[46, 77, 93]",W,2,216,0,0
2023-04-30,NJY,5,"[64, 64, 64, 75, 86]",L,-2,353,0,0
2023-05-06,WAS,5,"[73, 86, 86, 86, 92]",W,2,423,0,0
2023-05-06,SD,4,"[46, 66, 78, 84]",L,-2,274,0,0
2023-05-06,ORL,3,"[69, 81, 86]",W,1,236,0,0
2023-05-06,LOU,4,"[46, 46, 63, 86]",L,-1,241,0,0
2023-05-06,NC,3,"[56, 56, 88]",D,0,200,1,1
2023-05-06,POR,4,"[67, 76, 76, 80]",D,0,299,1,0
2023-05-06,RGN,4,"[75, 83, 89, 89]",W,2,336,0,0
2023-05-06,HOU,3,"[56, 72, 73]",L,-2,201,0,0
2023-05-07,CHI,3,"[58, 65, 65]",L,-1,188,0,0
2023-05-07,NJY,4,"[28, 69, 69, 89]",W,1,255,0,1
2023-05-07,LA,5,"[68, 68, 86, 87, 90]",W,1,399,0,0
2023-05-07,KCC,3,"[46, 46, 77]",L,-1,169,1,0
2023-05-12,LOU,5,"[72, 73, 81, 81, 88]",W,3,395,1,0
2023-05-12,CHI,4,"[46, 46, 57, 63]",L,-3,212,0,0
2023-05-12,HOU,5,"[29, 46, 87, 96, 97]",W,1,355,1,0
2023-05-12,POR,5,"[60, 70, 71, 77, 77]",L,-1,355,0,0
2023-05-13,LA,4,"[66, 78, 78, 89]",L,-1,311,0,0
2023-05-13,WAS,3,"[74, 89, 96]",W,1,259,0,0
2023-05-14,NC,3,"[68, 74, 83]",W,1,225,0,0
2023-05-14,RGN,4,"[58, 74, 74, 84]",L,-1,290,0,0
2023-05-14,NJY,3,"[55, 75, 89]",D,0,219,0,0
2023-05-14,ORL,3,"[77, 87, 87]",D,0,251,0,0
2023-05-14,KCC,2,"[46, 67]",L,-2,113,0,0
2023-05-14,SD,3,"[57, 72, 87]",W,2,216,0,0
2023-05-20,NC,3,"[67, 79, 80]",D,0,226,0,0
2023-05-20,LA,3,"[55, 55, 80]",D,0,190,0,0
2023-05-20,ORL,3,"[66, 92, 92]",W,1,250,0,0
2023-05-20,WAS,5,"[46, 70, 81, 89, 89]",L,-1,375,0,0
2023-05-20,KCC,4,"[46, 63, 76, 81]",L,-2,266,0,0
2023-05-20,LOU,4,"[62, 76, 76, 87]",W,2,301,0,0
2023-05-20,HOU,6,"[56, 63, 68, 82, 82, 82]",L,-3,433,0,0
2023-05-20,SD,4,"[62, 62, 87, 95]",W,3,306,1,0
2023-05-21,POR,5,"[62, 62, 62, 73, 85]",W,4,344,0,0
2023-05-21,CHI,5,"[46, 46, 54, 65, 77]",L,-4,288,0,0
2023-05-21,RGN,4,"[65, 65, 65, 76]",L,-3,271,0,1
2023-05-21,NJY,5,"[46, 66, 81, 81, 90]",W,3,364,0,0
2023-05-26,KCC,4,"[46, 62, 62, 62]",L,-2,232,0,0
2023-05-26,HOU,5,"[59, 59, 79, 79, 96]",W,2,372,0,0
2023-05-26,SD,3,"[54, 74, 74]",D,0,202,0,0
2023-05-26,POR,3,"[66, 77, 89]",D,0,232,0,0
2023-05-27,RGN,5,"[68, 77, 77, 81, 81]",W,3,384,1,1
2023-05-27,LA,4,"[53, 59, 59, 69]",L,-3,240,0,0
2023-05-27,LOU,5,"[59, 60, 72, 82, 82]",L,-1,355,1,0
2023-05-27,NC,5,"[67, 77, 77, 87, 87]",W,1,395,0,0
2023-05-27,CHI,3,"[62, 74, 89]",W,1,225,0,0
2023-05-27,ORL,3,"[62, 68, 85]",L,-1,215,0,0
2023-05-28,WAS,3,"[74, 74, 85]",D,0,233,0,0
2023-05-28,NJY,5,"[74, 75, 83, 83, 86]",D,0,401,0,0
2023-06-03,RGN,4,"[57, 58, 78, 79]",L,-2,272,0,0
2023-06-03,POR,4,"[67, 67, 70, 89]",W,2,293,1,0
2023-06-03,WAS,2,"[60, 92]",D,0,152,0,0
2023-06-03,LOU,5,"[58, 76, 76, 84, 84]",D,0,378,0,0
2023-06-03,HOU,5,"[53, 72, 72, 72, 89]",W,2,358,0,0
2023-06-03,ORL,5,"[46, 58, 67, 67, 79]",L,-2,317,0,0
2023-06-03,KCC,4,"[46, 73, 81, 89]",W,1,289,0,0
2023-06-03,NC,5,"[64, 65, 77, 77, 83]",L,-1,366,0,0
2023-06-04,NJY,3,"[62, 62, 74]",L,-1,198,0,0
2023-06-04,SD,4,"[46, 46, 88, 94]",W,1,274,1,1
2023-06-05,LA,5,"[58, 58, 59, 76, 76]",L,-1,327,1,1
2023-06-05,CHI,4,"[63, 80, 80, 83]",W,1,306,0,0
2023-06-09,LOU,3,"[64, 77, 77]",D,0,218,0,0
2023-06-09,SD,3,"[46, 64, 77]",D,0,187,0,0
2023-06-10,WAS,5,"[74, 74, 78, 90, 100]",W,1,416,0,0
2023-06-10,LA,5,"[51, 61, 61, 61, 75]",L,-1,309,0,0
2023-06-10,CHI,5,"[56, 57, 64, 64, 68]",L,-5,309,0,0
2023-06-10,NC,5,"[64, 64, 72, 72, 73]",W,5,345,0,0
2023-06-10,RGN,4,"[7, 62, 62, 83]",W,1,214,0,0
2023-06-10,KCC,5,"[46, 63, 73, 81, 81]",L,-1,344,1,1
2023-06-11,HOU,4,"[48, 66, 84, 84]",D,0,282,0,0
2023-06-11,NJY,5,"[35, 73, 73, 73, 86]",D,0,340,0,0
2023-06-11,ORL,4,"[53, 66, 73, 73]",W,2,265,1,0
2023-06-11,POR,5,"[56, 56, 67, 67, 84]",L,-2,330,0,0
2023-06-17,SD,5,"[54, 54, 62, 82, 83]",L,-1,335,0,0
2023-06-17,LA,4,"[56, 56, 74, 87]",W,1,273,0,1
2023-06-17,NC,5,"[67, 67, 67, 86, 88]",W,3,375,1,1
2023-06-17,ORL,4,"[53, 72, 86, 87]",L,-3,298,0,0
2023-06-17,HOU,4,"[67, 67, 80, 86]",D,0,300,0,0
2023-06-17,RGN,5,"[46, 54, 55, 77, 96]",D,0,328,0,0
2023-06-18,LOU,4,"[58, 68, 84, 84]",W,2,294,0,0
2023-06-18,NJY,5,"[46, 56, 56, 57, 82]",L,-2,297,0,0
2023-06-18,CHI,4,"[70, 71, 76, 76]",L,-1,293,1,0
2023-06-18,POR,4,"[61, 78, 78, 95]",W,1,312,0,0
2023-06-18,KCC,4,"[46, 46, 68, 72]",L,-1,232,0,0
2023-06-18,WAS,4,"[46, 46, 86, 94]",W,1,272,0,1
2023-06-23,POR,3,"[67, 79, 93]",W,2,239,0,0
2023-06-23,WAS,3,"[67, 87, 91]",L,-2,245,0,0
2023-06-24,ORL,4,"[46, 46, 65, 79]",L,-1,236,0,0
2023-06-24,KCC,4,"[6, 64, 64, 80]",W,1,214,0,0
2023-06-24,NC,4,"[41, 59, 59, 93]",W,1,252,1,0
2023-06-24,LOU,4,"[61, 61, 62, 78]",L,-1,262,0,0
2023-06-24,SD,5,"[46, 71, 78, 78, 92]",L,-1,365,0,0
2023-06-24,RGN,4,"[67, 82, 83, 100]",W,1,332,0,0
2023-06-25,NJY,4,"[64, 64, 82, 90]",W,1,300,0,0
2023-06-25,CHI,5,"[46, 73, 73, 78, 83]",L,-1,353,0,1
2023-06-25,LA,4,"[61, 61, 75, 85]",D,0,282,0,0
2023-06-25,HOU,5,"[63, 63, 63, 79, 95]",D,0,363,0,0
2023-07-01,RGN,5,"[65, 72, 72, 80, 80]",D,0,369,1,0
2023-07-01,LOU,2,"[67, 90]",D,0,157,0,0
2023-07-01,CHI,2,"[59, 93]",W,1,152,0,0
2023-07-01,SD,4,"[46, 74, 85, 91]",L,-1,296,0,0
2023-07-01,WAS,4,"[46, 46, 62, 98]",L,-3,252,0,0
2023-07-01,ORL,4,"[58, 65, 92, 92]",W,3,307,0,0
2023-07-01,NC,3,"[68, 77, 86]",W,1,231,0,0
2023-07-01,HOU,4,"[25, 65, 65, 83]",L,-1,238,0,0
2023-07-01,POR,2,"[46, 69]",L,-1,115,0,0
2023-07-01,KCC,3,"[60, 83, 95]",W,1,238,0,0
2023-07-02,NJY,3,"[46, 62, 85]",D,0,193,0,0
2023-07-02,LA,5,"[17, 60, 60, 76, 77]",D,0,290,0,0
2023-07-07,ORL,4,"[62, 67, 88, 89]",W,1,306,0,0
2023-07-07,RGN,5,"[23, 46, 63, 63, 88]",L,-1,283,0,0
2023-07-07,LOU,4,"[62, 82, 82, 96]",W,1,322,0,0
2023-07-07,KCC,6,"[43, 46, 61, 78, 79, 81]",L,-1,388,0,0
2023-07-07,HOU,1,[79],L,-1,79,0,0
2023-07-07,CHI,5,"[68, 68, 82, 82, 95]",W,1,395,1,0
2023-07-08,SD,4,"[60, 60, 66, 66]",D,0,252,0,1
2023-07-08,WAS,4,"[60, 60, 66, 90]",D,0,276,0,0
2023-07-09,NJY,4,"[72, 81, 89, 89]",W,1,331,0,0
2023-07-09,POR,3,"[54, 78, 81]",L,-1,213,1,0
2023-07-09,LA,4,"[63, 63, 73, 93]",W,1,292,0,0
2023-07-09,NC,4,"[46, 64, 84, 84]",L,-1,278,0,0
2023-08-18,KCC,3,"[55, 76, 98]",W,1,229,1,0
2023-08-18,RGN,6,"[46, 82, 82, 82, 89, 89]",L,-1,470,0,0
2023-08-19,LOU,4,"[46, 66, 70, 71]",D,0,253,1,1
2023-08-19,LA,5,"[46, 62, 62, 73, 79]",D,0,322,1,0
2023-08-19,SD,5,"[56, 68, 68, 84, 84]",W,1,360,1,1
2023-08-19,NJY,5,"[26, 30, 84, 84, 84]",L,-1,308,0,1
2023-08-19,HOU,5,"[58, 64, 64, 82, 83]",D,0,351,0,0
2023-08-19,WAS,5,"[56, 56, 62, 62, 71]",D,0,307,1,1
2023-08-20,ORL,5,"[60, 60, 60, 70, 73]",W,5,323,2,1
2023-08-20,CHI,5,"[46, 46, 46, 58, 81]",L,-5,277,0,0
2023-08-20,POR,5,"[22, 68, 68, 85, 85]",W,1,328,1,0
2023-08-20,NC,4,"[46, 60, 70, 83]",L,-1,259,0,0
2023-08-25,ORL,4,"[46, 46, 69, 82]",L,-1,243,0,0
2023-08-25,SD,3,"[62, 62, 78]",W,1,202,1,0
2023-08-26,HOU,5,"[46, 46, 65, 66, 92]",D,0,315,0,0
2023-08-26,KCC,4,"[68, 68, 81, 94]",D,0,311,0,0
2023-08-27,NC,3,"[24, 75, 76]",D,0,175,0,0
2023-08-27,CHI,5,"[72, 73, 73, 87, 87]",D,0,392,0,0
2023-08-27,WAS,4,"[68, 68, 77, 100]",D,0,313,0,0
2023-08-27,POR,5,"[46, 48, 61, 72, 72]",D,0,299,0,0
2023-08-27,NJY,5,"[57, 57, 57, 70, 84]",D,0,325,0,0
2023-08-27,LOU,5,"[59, 72, 72, 87, 87]",D,0,377,0,0
2023-08-27,LA,5,"[58, 69, 70, 87, 87]",W,1,371,0,0
2023-08-27,RGN,5,"[46, 63, 63, 86, 86]",L,-1,344,1,0
2023-09-01,KCC,5,"[46, 46, 80, 92, 92]",L,-1,356,0,0
2023-09-01,LA,5,"[57, 68, 68, 68, 82]",W,1,343,0,0
2023-09-02,NC,2,"[74, 83]",D,0,157,0,0
2023-09-02,NJY,5,"[46, 46, 65, 65, 92]",D,0,314,1,0
2023-09-02,LOU,4,"[63, 64, 74, 92]",W,1,293,0,0
2023-09-02,POR,5,"[61, 61, 74, 74, 90]",L,-1,360,0,0
2023-09-03,WAS,3,"[74, 74, 85]",L,-2,233,0,0
2023-09-03,CHI,3,"[68, 77, 87]",W,2,232,0,0
2023-09-03,RGN,5,"[10, 66, 66, 85, 85]",W,1,312,1,0
2023-09-03,ORL,5,"[5, 64, 64, 71, 71]",L,-1,275,0,0
2023-09-03,SD,5,"[60, 61, 71, 84, 84]",W,1,360,0,0
2023-09-03,HOU,5,"[38, 46, 82, 82, 89]",L,-1,337,0,0
2023-09-15,LOU,4,"[62, 62, 79, 89]",L,-1,292,0,0
2023-09-15,HOU,4,"[67, 67, 69, 81]",W,1,284,0,0
2023-09-16,NJY,4,"[78, 82, 91, 92]",W,2,343,0,0
2023-09-16,WAS,3,"[46, 83, 83]",L,-2,212,0,0
2023-09-16,SD,4,"[46, 68, 82, 91]",L,-1,287,0,0
2023-09-16,KCC,5,"[70, 83, 83, 96, 96]",W,1,428,0,0
2023-09-16,POR,5,"[46, 68, 68, 77, 77]",W,2,336,0,0
2023-09-16,RGN,5,"[64, 64, 76, 84, 84]",L,-2,372,0,0
2023-09-17,CHI,4,"[66, 66, 67, 67]",D,0,266,2,0
2023-09-17,LA,4,"[56, 56, 68, 83]",D,0,263,1,0
2023-09-17,ORL,5,"[56, 64, 65, 95, 95]",W,1,375,0,0
2023-09-17,NC,5,"[64, 64, 74, 75, 87]",L,-1,364,0,0
2023-09-30,WAS,4,"[72, 72, 78, 95]",W,1,317,0,0
2023-09-30,KCC,3,"[57, 72, 85]",L,-1,214,0,0
2023-09-30,CHI,3,"[75, 76, 103]",W,1,254,0,0
2023-09-30,LOU,4,"[53, 53, 74, 85]",L,-1,265,0,0
2023-09-30,POR,5,"[64, 64, 74, 74, 84]",L,-2,360,0,0
2023-09-30,SD,5,"[62, 72, 72, 83, 83]",W,2,372,0,0
2023-10-01,NJY,5,"[46, 61, 71, 84, 84]",L,-2,346,0,0
2023-10-01,HOU,4,"[65, 65, 80, 89]",W,2,299,0,0
2023-10-01,RGN,4,"[71, 71, 88, 95]",D,0,325,0,0
2023-10-01,NC,2,"[65, 72]",D,0,137,0,0
2023-10-02,LA,5,"[60, 60, 66, 67, 80]",L,-1,333,0,0
2023-10-02,ORL,5,"[60, 70, 91, 92, 92]",W,1,405,0,0
2023-10-06,LOU,4,"[58, 58, 70, 90]",W,1,276,1,0
2023-10-06,ORL,5,"[51, 63, 78, 78, 78]",L,-1,348,0,0
2023-10-06,RGN,2,"[66, 74]",D,0,140,0,0
2023-10-06,WAS,2,"[65, 83]",D,0,148,0,0
2023-10-07,POR,5,"[61, 71, 71, 71, 83]",W,1,357,0,0
2023-10-07,NJY,4,"[66, 76, 87, 87]",L,-1,316,0,0
2023-10-07,NC,3,"[75, 80, 80]",D,0,235,0,0
2023-10-07,SD,5,"[58, 69, 77, 77, 78]",D,0,359,0,0
2023-10-07,KCC,3,"[67, 81, 93]",W,3,241,2,0
2023-10-07,CHI,4,"[46, 46, 64, 73]",L,-3,229,0,0
2023-10-08,HOU,3,"[64, 78, 78]",L,-1,220,0,0
2023-10-08,LA,5,"[66, 82, 82, 86, 86]",W,1,402,1,1
2023-10-15,WAS,2,"[74, 86]",L,-1,160,0,0
2023-10-15,NC,5,"[65, 65, 79, 92, 92]",W,1,393,0,0
2023-10-15,NJY,2,"[72, 92]",D,0,164,0,0
2023-10-15,KCC,3,"[72, 84, 85]",D,0,241,0,0
2023-10-15,ORL,5,"[55, 71, 71, 87, 87]",W,1,371,0,0
2023-10-15,HOU,3,"[63, 80, 90]",L,-1,233,0,0
2023-10-15,CHI,4,"[60, 60, 70, 86]",L,-3,276,0,0
2023-10-15,RGN,5,"[70, 70, 76, 88, 88]",W,3,392,0,0
2023-10-15,LA,5,"[64, 64, 72, 73, 82]",W,4,355,1,1
2023-10-15,POR,5,"[46, 46, 61, 62, 62]",L,-4,277,0,0
2023-10-15,SD,4,"[46, 46, 64, 72]",W,2,228,0,0
2023-10-15,LOU,5,"[52, 52, 52, 72, 85]",L,-2,313,0,0
