slug,id
angel-city-fc-vs-north-carolina-courage-2023-07-09,8fp4pt8qaj6lh050m8o757xg4
kansas-city-current-vs-ol-reign-2023-08-18,8fyy01jveerkrghpon9lyly50
racing-louisville-fc-vs-angel-city-fc-2023-08-19,8g8uk00mci6s0hsuafk4dtjpw
houston-dash-vs-washington-spirit-2023-08-19,8gir0y39qb9wfgnwjytcxb9jo
san-diego-wave-fc-vs-nj-ny-gotham-fc-2023-08-19,8gsoc2fejkclvzxk0753cles4
orlando-pride-vs-chicago-red-stars-2023-08-20,8h2m0dif9h5fjn943m5r7a784
portland-thorns-fc-vs-north-carolina-courage-2023-08-20,8hcerm6otond40ndu8eb5uhp0
orlando-pride-vs-san-diego-wave-fc-2023-08-25,8hm8pywplmj86rtalnnypbcpg
houston-dash-vs-kansas-city-current-2023-08-26,8hw5qdoqnzy3pwup5shcfzy1g
north-carolina-courage-vs-chicago-red-stars-2023-08-27,8i665a651e13717hkra2cdfys
washington-spirit-vs-portland-thorns-fc-2023-08-27,8ig1mlgtwhqt1s3hdfknrtkwk
nj-ny-gotham-fc-vs-racing-louisville-fc-2023-08-27,8irh4aqa9uljuvusjbpb2o3kk
angel-city-fc-vs-ol-reign-2023-08-27,8j19nevhq9cp2ukk1ys84fac4
kansas-city-current-vs-angel-city-fc-2023-09-01,8jb1gqfozjr2ly4i62upopous
north-carolina-courage-vs-nj-ny-gotham-fc-2023-09-02,8jkv3s1stj2ii2hto21kc2ln8
racing-louisville-fc-vs-portland-thorns-fc-2023-09-02,8juv9elywnf79bd0f12h51wyc
washington-spirit-vs-chicago-red-stars-2023-09-03,8k56aesx3brvhmzyfmb0t63v8
ol-reign-vs-orlando-pride-2023-09-03,8kf01yshqrzq48hxa4zg01vkk
san-diego-wave-fc-vs-houston-dash-2023-09-03,8kov04wld7xysmdtjb8bb97o4
racing-louisville-fc-vs-houston-dash-2023-09-15,8kyoip7n0jdjjebqhx9atd34k
nj-ny-gotham-fc-vs-washington-spirit-2023-09-16,8l8kkeab76vvpd4npn6wqgkk4
san-diego-wave-fc-vs-kansas-city-current-2023-09-16,8lij5uyia0ztnilmitzmydul0
portland-thorns-fc-vs-ol-reign-2023-09-16,8lsde10r9phhj4ezp8y507ndg
chicago-red-stars-vs-angel-city-fc-2023-09-17,8m27562n1vhpxw3j7b2on9wyc
orlando-pride-vs-north-carolina-courage-2023-09-17,8mc271jjv2byzln0rfyqikyl0
angel-city-fc-vs-orlando-pride-2023-09-21,8mluijxnk9epe97sblm18bwno
washington-spirit-vs-kansas-city-current-2023-09-30,8mvseva3uqw51seveahieqihg
chicago-red-stars-vs-racing-louisville-fc-2023-09-30,8n5qxd9nkzhoavrd5wrozdmhg
portland-thorns-fc-vs-san-diego-wave-fc-2023-09-30,8nhiceslkcpdhckxrhmo0ul1w
nj-ny-gotham-fc-vs-houston-dash-2023-10-01,8nremfft8iuw2dw6jqv62jztg
ol-reign-vs-north-carolina-courage-2023-10-01,8o142iblhwl2gnldivo2u3c44
racing-louisville-fc-vs-orlando-pride-2023-10-06,8oaxknoy9xt0zlpv5156sdpg4
ol-reign-vs-washington-spirit-2023-10-06,8okmlco382348gxlc54mi9mvo
portland-thorns-fc-vs-nj-ny-gotham-fc-2023-10-07,8oujwsqp06bt5fwxpb14ajthw
north-carolina-courage-vs-san-diego-wave-fc-2023-10-07,8p4erofob5lnobynzz6olgy6s
kansas-city-current-vs-chicago-red-stars-2023-10-07,8pea5h7cu9q1pshfoex0ek8ic
houston-dash-vs-angel-city-fc-2023-10-08,8pod7hu7ox44auqx9pbkeldlg
washington-spirit-vs-north-carolina-courage-2023-10-15,8py811y9jjwwg4bjf4z2fcglw
nj-ny-gotham-fc-vs-kansas-city-current-2023-10-15,8q7zluoren5zyuzwgbj2d65g4
orlando-pride-vs-houston-dash-2023-10-15,8qhp2grv2j5yxhbi0m6o9ma6s
chicago-red-stars-vs-ol-reign-2023-10-15,8qrkwb4tdlo4juakgryc4f0us
angel-city-fc-vs-portland-thorns-fc-2023-10-15,8r1cx5o9jlwp63yofim0e04r8
san-diego-wave-fc-vs-racing-louisville-fc-2023-10-15,8rb7y9elvucsyf9sx31py7tas
