"Match_Date","Team","Opponent","Event_Time","Event_Half","Event_Players"
"2023-06-24","Kansas City Current","Orlando Pride",46,1,"Cecelia Kizer Assist: Vanessa DiBernardo"
"2023-06-23","Portland Thorns FC","Washington Spirit",11,1,"Sophia Smith Assist: Sam Coffey"
"2023-06-23","Washington Spirit","Portland Thorns FC",13,1,"Ashley Hatch Assist: Ashley Sanchez"
"2023-06-23","Portland Thorns FC","Washington Spirit",23,1,"Sophia Smith"
"2023-06-23","Washington Spirit","Portland Thorns FC",46,2,"Ashley Sanchez"
"2023-06-23","Portland Thorns FC","Washington Spirit",48,2,"Sophia Smith Assist: Hina Sugita"
"2023-06-23","Portland Thorns FC","Washington Spirit",64,2,"Morgan Weaver Assist: Sam Coffey"
"2023-06-25","Gotham FC","Chicago Red Stars",46,2,"Lynn Williams Assist: Nealy Martin"
"2023-06-25","Chicago Red Stars","Gotham FC",55,2,"Cari Roccaro Assist: Sarah Griffith"
"2023-06-25","Gotham FC","Chicago Red Stars",69,2,"Allie Long"
"2023-06-24","OL Reign","San Diego Wave",8,1,"Bethany Balcer Assist: Quinn"
"2023-06-24","San Diego Wave","OL Reign",47,2,"Jaedyn Shaw Assist: Alex Morgan"
"2023-06-24","OL Reign","San Diego Wave",77,2,"Bethany Balcer Assist: Sofia Huerta"
"2023-07-01","Racing Louisville","OL Reign",76,2,"Paige Monaghan"
"2023-07-01","OL Reign","Racing Louisville",82,2,"Veronica Latsko Assist: Elyse Bennett"
"2023-07-01","OL Reign","Racing Louisville",87,2,"Elyse Bennett Assist: Nikki Stanton"
"2023-07-01","Orlando Pride","Washington Spirit",8,1,"Julie Doyle"
"2023-07-01","Orlando Pride","Washington Spirit",16,1,"Julie Doyle Assist: Erika Tymrak"
"2023-07-01","North Carolina Courage","Houston Dash",59,2,"Tyler Lussi Assist: Kiki Pickett"
"2023-07-01","Chicago Red Stars","San Diego Wave",46,1,"Ella Stevens Assist: Tatumn Milazzo"
"2023-07-07","Orlando Pride","OL Reign",16,1,"Messiah Bright Assist: Julie Doyle"
"2023-07-07","Chicago Red Stars","Houston Dash",68,2,"Penelope Hocking Assist: Bianca St Georges"
"2023-07-07","Racing Louisville","Kansas City Current",20,1,"Elli Pikkujämsä"
"2023-07-07","Racing Louisville","Kansas City Current",46,2,"Paige Monaghan Assist: Kayla Fischer"
"2023-07-09","Gotham FC","Portland Thorns FC",21,1,"Allie Long"
"2023-07-09","Gotham FC","Portland Thorns FC",56,2,"Katie Stengel"
"2023-07-09","Portland Thorns FC","Gotham FC",62,2,"Hannah Betfort Assist: Meghan Klingenberg"
"2023-07-08","San Diego Wave","Washington Spirit",46,2,"Cheyenne Shorts"
"2023-07-08","San Diego Wave","Washington Spirit",90,2,"Taylor Kornieck Assist: Kelsey Turnbow"
"2023-07-09","North Carolina Courage","Angel City FC",15,1,"Brianna Pinto Assist: Frankie Tagliaferri"
"2023-07-09","Angel City FC","North Carolina Courage",18,1,"Savannah McCaskill Assist: Scarlett Camberos"
"2023-08-18","Kansas City Current","OL Reign",61,2,"Cecelia Kizer Assist: Isabel Rodriguez"
"2023-08-19","Angel City FC","Racing Louisville",67,2,"Katie Johnson Assist: Savannah McCaskill"
"2023-08-19","Racing Louisville","Angel City FC",79,2,"Kirsten Davis Assist: Maddie Pokorny"
"2023-08-19","San Diego Wave","Gotham FC",17,1,"Makenzy Doniak Assist: Jaedyn Shaw"
"2023-08-19","San Diego Wave","Gotham FC",85,2,"Amirah Ali Assist: Melanie Barcenas"
"2023-08-19","Gotham FC","San Diego Wave",102,2,"Katie Stengel Assist: Ifeoma Onumonu"
"2023-08-20","Orlando Pride","Chicago Red Stars",15,1,"Rafaelle Assist: Adriana"
"2023-08-20","Orlando Pride","Chicago Red Stars",24,1,"Messiah Bright Assist: Julie Doyle"
"2023-08-20","Orlando Pride","Chicago Red Stars",49,2,"Messiah Bright Assist: Marta"
"2023-08-20","Orlando Pride","Chicago Red Stars",64,2,"Mariana Larroquette Assist: Mikayla Cluff"
"2023-08-20","Orlando Pride","Chicago Red Stars",68,2,"Mikayla Cluff Assist: Adriana"
"2023-08-19","Washington Spirit","Houston Dash",63,2,"Ashley Sanchez Assist: Ouleymata Sarr"
"2023-08-19","Houston Dash","Washington Spirit",91,2,"Maria Sanchez Assist: Ebony Salmon"
"2023-08-20","North Carolina Courage","Portland Thorns FC",19,1,"Tyler Lussi"
"2023-08-20","Portland Thorns FC","North Carolina Courage",41,1,"Hannah Betfort Assist: Olivia Moultrie"
"2023-08-20","Portland Thorns FC","North Carolina Courage",69,2,"Sophia Smith Assist: Morgan Weaver"
"2023-08-25","San Diego Wave","Orlando Pride",7,1,"Abby Dahlkemper"
"2023-08-25","Orlando Pride","San Diego Wave",44,1,"Adriana Assist: Marta"
"2023-08-25","San Diego Wave","Orlando Pride",75,2,"Kyra Carusa Assist: Makenzy Doniak"
"2023-08-27","North Carolina Courage","Chicago Red Stars",14,1,"Tess Boade Assist: Kerolin"
"2023-08-27","Chicago Red Stars","North Carolina Courage",63,2,"Tatumn Milazzo Assist: Julia Bianchi"
"2023-08-27","Portland Thorns FC","Washington Spirit",64,2,"Morgan Weaver Assist: Sam Coffey"
"2023-08-26","Kansas City Current","Houston Dash",51,2,"Lo'eau LaBonta"
"2023-08-26","Houston Dash","Kansas City Current",67,2,"Michelle Alozie"
"2023-08-27","Angel City FC","OL Reign",13,1,"Clarisse Le Bihan Assist: Scarlett Camberos"
"2023-08-27","Angel City FC","OL Reign",57,2,"Madison Hammond Assist: Clarisse Le Bihan"
"2023-09-01","Angel City FC","Kansas City Current",66,2,"Jasmyne Spencer Assist: Clarisse Le Bihan"
"2023-09-02","North Carolina Courage","Gotham FC",19,1,"Narumi Miura Assist: Kerolin"
"2023-09-02","North Carolina Courage","Gotham FC",45,1,"Kerolin Assist: Haley Hopkins"
"2023-09-02","North Carolina Courage","Gotham FC",68,2,"Haley Hopkins Assist: Kerolin"
"2023-09-02","Gotham FC","North Carolina Courage",73,2,"Maitane López Millán"
"2023-09-02","Gotham FC","North Carolina Courage",82,2,"Margaret Purce Assist: Lynn Williams"
"2023-09-02","Portland Thorns FC","Racing Louisville",6,1,"Morgan Weaver"
"2023-09-02","Racing Louisville","Portland Thorns FC",60,2,"Abby Erceg Assist: Wang Shuang"
"2023-09-02","Racing Louisville","Portland Thorns FC",64,2,"Thembi Kgatlana Assist: Rebecca Holloway"
