player_id,player_name
358075,Chika HIRAO
268021,Rumi UTSUGI
377589,Nana ICHISE
377598,Asato MIYAGAWA
358092,Shiori MIYAKE
262379,Mizuho SAKAGUCHI
397185,Saori TAKARADA
358076,Yuka MOMIKI
300685,Mana IWABUCHI
377690,Rikako KOBAYASHI
397163,Jun ENDO
199948,Stephanie LABBE
302146,Allysha CHAPMAN
359180,Kadeisha BUCHANAN
300492,Shelina ZADORSKY
326252,Ashley LAWRENCE
232135,Desiree SCOTT
224525,Sophie SCHMIDT
377901,Jessie FLEMING
190146,Christine SINCLAIR
359191,Nichelle PRINCE
381564,Janine BECKIE
359194,Kailen SHERIDAN
300474,Sabrina Victoria D'Angelo
326251,Quinn
298717,Shannon WOELLER
359065,Lindsay AGNEW
359183,Jenna HELLSTROM
395390,Deanne ROSE
397230,Julia GROSSO
397247,Jayde RIVIERE
397234,Jordyn HUITEMA
377907,Gabrielle CARLE
357771,Adriana LEON
356786,Annette NGO NDOM
265893,Christine MANIE
356775,Yvonne LEUKO
420454,Estelle JOHNSON
387119,Marie-Aurelle Awona
356790,Claudine Falonne Meffometou Tcheno
356785,Raissa FEUDJIO
356774,Jeannette Grace Ngock Yango
265903,Marlyse NGO NDOUMBOUK
356773,Ajara Nchout Njoya
353725,Gabrielle Aboudi Onguéné
420456,Isabelle MAMBINGO
420457,Marthe ONGMAHAN
265899,Augustine EJANGUE
353724,Ysis SONKENG
387258,Charlene MEYONG
387163,Ninon ABENA
387116,Genevieve Edith Ngo Mbeleck
197630,Madeleine NGONO MANI
356783,Gaelle ENGANAMOUIT
356776,Henriette AKABA
397461,Alexandra TAKOUNDA
420453,Michaela ABAM
301483,Erin NAYLER
252519,Ria PERCIVAL
358189,C.J. BOTT 
355896,Rebekah Ashley Stott
252502,Ali RILEY
252501,Abby ERCEG
298792,Betsy HASSETT
301461,Katie BOWEN
323189,Olivia CHANCE
252520,Sarah GREGORIUS
300469,Rosie WHITE
301468,Victoria ESSON
397013,Nadia OLLA
269352,Anna GREEN
302309,Nicole STRATFORD
377258,Sarah MORTON
323196,Steph SKILTON
252503,Annalie Antonia Longo
252514,Katie DUNCAN
358194,Daisy CLEVERLEY
255358,Emma KETE
321169,Hannah WILKINSON
377262,Paige SATCHELL
386927,Sari VAN VEENENDAAL
386922,Desiree VAN LUNTEREN
386920,Stefanie VAN DER GRAGT
420210,Kika VAN ES
387074,Dominique JANSSEN
264651,Sherida SPITSE
386918,Danielle VAN DE DONK
420205,Jackie GROENEN
386932,Shanice VAN DE SANDEN
386925,Vivianne MIEDEMA
386923,Lieke MARTENS
411033,Lize KOP
264635,Loes GEURTS
386917,Merel VAN DONGEN
387079,Danique Kerkdijk
387091,Liza VAN DER MOST
412994,Victoria PELOVA
387078,Inessa KAAGMAN
386926,Jill ROORD
387087,Renate JANSEN
420206,Ellen JANSEN
387076,Lineth BEERENSTEYN
302891,Christiane ENDLER
266348,Carla GUERRERO
420400,Francisca Alejandra Lara Lara
420414,Su Helen GALAZ
420415,Javiera TORO
321176,Camila SAEZ
266387,Karen ARAYA
321179,Yanara AEDO
420412,Rosario BALMACEDA
321184,Maria Jose URRUTIA
296395,Daniela ZAMORA
420411,Natalia Carolina Campos Fernández
420427,Ryann TORRERO
321185,Rocio SOTO
420420,Valentina DIAZ
321187,Fernanda PINILLA
321181,Claudia SOTO
420410,Yessenia LOPEZ
266385,Daniela Andrea Pardo Moreno
420417,Elisa DURAN
420404,Maria Jose ROJAS
420408,Javiera GREZ
420416,Yessenia HUENTEO
191872,Hedvig LINDAHL
298806,Linda Birgitta Sembrant
420377,Hanna GLAS
265233,Åsa Nilla Maria Fischer
386970,Magdalena ERIKSSON
298807,Kosovare ASLLANI
265238,Caroline SEGER
324596,Elin Ingrid Johanna Rubensson
321274,Sofia JAKOBSSON
395148,Stina BLACKSTENIUS
356452,Fridolina ROLFO
420376,Jennifer FALK
387088,Zecira MUSOVIC
395146,Jonna ANDERSSON
324571,Amanda ILESTEDT
395147,Nathalie BJORN
420379,Madelen JANOGY
420383,Julia RODDAR
398275,Julia ZIGIOTTI
321281,Olivia SCHOUGH
387093,Lina HURTIG
398248,Anna ANVEGARD
395153,Mimmi LARSSON
301016,Alyssa NAEHER
251016,Kelley O HARA
357572,Abby DAHLKEMPER
300533,Crystal DUNN
300549,Samantha MEWIS
357578,Julie ERTZ
357577,Lindsey HORAN
381352,Rose LAVELLE
302753,Alex MORGAN
212337,Megan RAPINOE
252102,Tobin HEATH
191970,Ashlyn Michelle Harris
324229,Adrianna FRANCH
212341,Becky SAUERBRUNN
294518,Alexandra Blaire Krieger
420165,Tierna DAVIDSON
357595,Emily SONNETT
300777,Morgan Paige Gautrat
252111,Alexandra Linsley Long Batista
381358,Mallory Diane Pugh
264572,Carli LLOYD
301013,Jessica McDONALD
301020,Christen PRESS
387017,Sukanya CHOR CHAROENYING
420605,Kanjanaporn SAENKHUN
387002,Natthakarn CHINWONG
387003,Ainon PHANCHA
387009,Warunee PHETWISET
262413,Sunisa SRANGTHAISONG
387007,Silawan INTAMEE
387016,Wilaiporn BOOTHDUANG
339794,Kanjana SUNG-NGOEN
420606,Miranda NILD
387011,Rattikan THONGSOMBUT
262407,Waraporn BOONSING
420603,Tiffany SORNPAO
227262,Duangnapa SRITALA
420596,Sudarat CHUCHUEN
420601,Phonphirun PHILAWAN
227280,Pikul KHUEANPET
227264,Orathai SRIMANEE
420604,Orapin WAENNGOEN
348414,Khwanrudi SAENGCHAN
420607,Saowalak PENGNGAM
387015,Taneekarn DANGDA
262417,Pitsamai SORNSAI
