match_number,date,stage,home,away,attendance,home_score,away_score,home_penalty_score,away_penalty_score,home_placeholder,away_placeholder,completed,humidity,temperature,wind,group,stadium,winner,match_id,result_id,competition_id,stage_id,season_id
41,2015-06-21T14:00:00Z,Round of 16,BRA,AUS,,0,1,,,1E,2D,1,,,,,Moncton Stadium,AUS,300269501,97405,103,268032,266030
40,2015-06-21T16:00:00Z,Round of 16,FRA,KOR,,3,0,,,1F,2E,1,,,,,Olympic Stadium,FRA,300269486,97406,103,268032,266030
44,2015-06-21T16:30:00Z,Round of 16,CAN,SUI,,1,0,,,1A,3CDE,1,,,,,BC Place Stadium,CAN,300269477,97402,103,268032,266030
43,2015-06-22T17:00:00Z,Round of 16,NOR,ENG,,1,2,,,2B,2F,1,,,,,Frank Clair Stadium,ENG,300269463,97403,103,268032,266030
38,2015-06-22T18:00:00Z,Round of 16,USA,COL,,2,0,,,1D,3BEF,1,,,,,Commonwealth Stadium,USA,300269505,97408,103,268032,266030
42,2015-06-23T19:00:00Z,Round of 16,JPN,NED,,2,1,,,1C,3ABF,1,,,,,BC Place Stadium,JPN,300269485,97404,103,268032,266030
46,2015-06-26T16:00:00Z,Quarter-final,GER,FRA,,1,1,5.0,4.0,W39,W40,1,,,,,Olympic Stadium,GER,300269498,97412,103,268018,266030
45,2015-06-26T19:30:00Z,Quarter-final,CHN,USA,,0,1,,,W37,W38,1,,,,,Frank Clair Stadium,USA,300269488,97413,103,268018,266030
47,2015-06-27T14:00:00Z,Quarter-final,AUS,JPN,,0,1,,,W41,W42,1,,,,,Commonwealth Stadium,JPN,300269496,97411,103,268018,266030
48,2015-06-27T16:30:00Z,Quarter-final,ENG,CAN,,2,1,,,W43,W44,1,,,,,BC Place Stadium,ENG,300269493,97410,103,268018,266030
49,2015-06-30T19:00:00Z,Semi-final,USA,GER,,2,0,,,W45,W46,1,,,,,Olympic Stadium,USA,300269503,97417,103,268016,266030
50,2015-07-01T17:00:00Z,Semi-final,JPN,ENG,,2,1,,,W47,W48,1,,,,,Commonwealth Stadium,JPN,300269504,97416,103,268016,266030
51,2015-07-04T14:00:00Z,Match for third place,GER,ENG,,0,1,,,L49,L50,1,,,,,Commonwealth Stadium,ENG,300269475,97415,103,268014,266030
52,2015-07-05T16:00:00Z,Final,USA,JPN,,5,2,,,W49,W50,1,,,,,BC Place Stadium,USA,300269506,97414,103,268012,266030
