result_id,player_id,avg_speed,distance_high_speed_running,distance_high_speed_sprinting,distance_jogging,distance_low_speed_sprinting,distance_walking,speed_runs,sprints,top_speed,total_distance,receptions_under_indirect_pressure,receptions_under_direct_pressure,received_offers_to_receive,linebreaks_attempted_all_lines,offers_to_receive_in_between,distributions_completed_under_pressure,offers_to_receive_in_behind,goalkeeper_defensive_actions_outside_penalty_area,linebreaks_attempted,linebreaks_attempted_attacking_line,linebreaks_attempted_attacking_line_completed,linebreaks_attempted_midfield_line_completed,linebreaks_attempted_defensive_line_completed,linebreaks_attempted_under_pressure,offers_to_receive_inside,offers_to_receive_outside,receptions_between_midfield_and_defensive_line,offers_to_receive_in_front,distributions_under_pressure,linebreaks_attempted_midfield_line,receptions_under_pressure,goalkeeper_goal_preventions,goalkeeper_defensive_actions_inside_penalty_area,receptions_under_no_pressure,linebreaks_attempted_completed,linebreaks_attempted_defensive_line,offers_to_receive_total,linebreaks_completed_under_pressure,linebreaks_completed_all_lines,linebreaks_completed_midfield_and_defensive_line,linebreaks_attempted_midfield_and_defensive_line,linebreaks_attempted_attacking_and_midfield_line,attempted_switches_of_play,completed_switches_of_play,direct_defensive_pressures_applied,defensive_pressures_applied,completed_ball_progressions,linebreaks_completed_attacking_and_midfield_line,attempted_ball_progressions,take_ons_completed,crosses_completed,crosses,passes_completed,yellow_cards,red_cards,direct_free_kicks,indirect_free_kicks,free_kicks,attempt_at_goal_inside_the_penalty_area,goals_outside_the_penalty_area,headed_attempt_at_goal,own_goals,attempt_at_goal_on_target,attempt_at_goal,assists,goals_conceded_from_attempt_at_goal_against,attempt_at_goal_outside_the_penalty_area,passes,goals,fouls_against,attempt_at_goal_outside_the_penalty_area_on_target,attempt_at_goal_off_target,goals_from_direct_free_kicks,substitutions_out,substitutions_in,time_played,penalties_scored,penalties,throw_ins,corners,goal_kicks,goals_inside_the_penalty_area,attempt_at_goal_inside_the_penalty_area_on_target,attempt_at_goal_from_free_kicks,fouls_for,offsides,attempt_at_goal_blocked,player_name,date
131884,398098,2.84,78.89747999999999,0.0,736.53396,10.866119999999999,3898.574879999999,9,2,23.11,4724.4,0,1,2,0,0,4,0,0,5,5,3,0,0,2,5,0,0,5,4,0,1,1,2,9,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,100,0,0,0,0,3,0,0,0,0,0,0,Misa RODRIGUEZ,2023-07-21T19:30:00Z
131884,413016,6.52,2768.214456,348.734372,3893.4784700000005,632.4871840000001,3188.428544,231,59,31.87,10830.26,9,4,12,0,23,19,6,0,13,2,1,7,1,7,3,44,17,18,33,8,13,0,0,62,9,3,47,5,0,1,1,0,0,0,6,11,6,0,6,2,4,11,57,0,0,1,0,1,1,0,0,0,2,5,0,0,4,63,0,0,2,2,0,0,0,100,0,0,8,0,0,0,0,0,4,0,1,Olga CARMONA,2023-07-21T19:30:00Z
131884,413022,7.12,2749.6533550000004,76.084979,4081.622038,262.926573,2460.723055,183,20,30.79,9631.01,22,0,19,1,10,30,1,0,29,5,4,14,2,17,40,9,6,38,40,21,22,0,0,62,20,3,49,11,0,1,2,2,0,0,2,7,5,2,5,0,15,23,69,0,0,5,0,5,0,0,0,0,0,2,0,0,2,74,0,1,0,1,0,1,0,81,0,0,0,18,0,0,0,0,1,0,0,Teresa ABELLEIRA,2023-07-21T19:30:00Z
131884,415394,6.33,1895.2344220000002,292.23181800000003,2930.008491,537.467291,2888.9934990000006,193,54,28.58,8544.79,23,4,13,0,13,19,22,0,5,0,0,0,2,5,26,20,31,11,31,2,27,0,0,15,2,3,46,2,0,0,0,0,0,0,3,10,5,0,6,2,1,5,20,0,0,0,0,0,5,0,2,0,2,5,0,0,0,24,0,1,0,2,0,1,0,81,0,0,0,0,0,0,2,0,1,0,0,Salma PARALLUELO,2023-07-21T19:30:00Z
131884,415396,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enith SALON,2023-07-21T19:30:00Z
131884,420276,5.81,1259.556216,148.903524,2223.8837999999996,405.455916,2408.2405439999998,128,35,32.69,6446.04,14,6,8,0,23,5,48,0,1,0,0,1,0,1,66,8,22,3,16,1,20,0,0,4,1,0,74,1,0,0,0,0,0,0,1,7,0,0,0,0,0,1,7,0,0,0,0,0,9,0,5,0,2,9,0,0,0,10,1,0,0,5,0,1,0,67,0,0,0,0,0,1,2,0,0,0,0,Esther GONZALEZ,2023-07-21T19:30:00Z
131884,420277,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irene GUERRERO,2023-07-21T19:30:00Z
131884,420284,7.58,696.7936430000001,0.0,911.191687,84.963417,647.641253,41,6,23.16,2340.59,6,0,5,0,3,8,0,0,13,4,2,7,0,9,7,3,0,7,11,9,6,0,0,11,9,0,10,5,0,0,0,3,1,1,0,0,0,3,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,18,0,0,0,1,0,0,0,0,0,0,0,Claudia ZORNOZA,2023-07-21T19:30:00Z
131884,426607,6.4,2483.639872,366.80469000000005,3692.5005459999998,628.352382,3460.7225099999996,205,71,32.44,10632.02,6,3,5,0,4,6,6,0,3,0,0,2,0,3,6,4,8,0,15,3,9,0,0,7,2,0,10,2,0,0,0,0,0,0,8,74,3,0,5,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,Priscilla CHINCHILLA,2023-07-21T19:30:00Z
131884,443412,6.51,2236.0541399999997,25.87446,3341.97864,234.53946000000002,2506.4839800000004,172,22,30.99,8346.6,15,2,2,1,2,3,1,0,5,1,1,2,1,5,1,2,12,0,8,3,17,0,0,0,4,1,3,4,1,1,1,1,0,0,3,16,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,77,0,0,0,0,0,0,0,0,4,0,0,Maria Paula SALAS,2023-07-21T19:30:00Z
